province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
london_metropolitan,allied_masonic,7,The Council of the Four Kings,SW1A 1PL,,4th Tuesday in January. 3rd Wednesday in June. 3rd Monday in November,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,15,Rose and Lily,SW1A 1PL,,4th Wednesday in June. 4th Wednesday in September,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,45,Perram,SW1A 1PL,,,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,46,Britannic Council of Madeira,SW1A 1PL,,1st Tuesday in April. 3rd Tuesday in June. 4th Monday in September,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,47,Londinium,SW1A 1PL,,3rd Tuesday in May. 4th Tuesday in November,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,67,Rumbelow,SW1A 1PL,,4th Wednesday in January. 4th Wednesday in March. 2nd Wednesday in July,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,126,The Brigadier Galloway,SW1A 1PL,,2nd Friday in April. 2nd Friday in October,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,145,The Guild of Freemen,SW1A 1PL,,2nd Tuesday in January. 3rd Thursday in May. 1st Friday in October,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,202,Londinium Matutinus,SW1A 1PL,,2nd Wednesday in May. 2nd Wednesday in July,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,275,The Goose & Gridiron,SW1A 1PL,,1st Saturday in May. 3rd Saturday in October,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,286,Universal,SW1A 1PL,,4th Friday in January. 1st Friday in June,,https://amdlondon.org/councils-of-london/
london_metropolitan,allied_masonic,289,Hibernia,SW1A 1PL,,3rd Thursday in September. 1st Thursday in March,,https://amdlondon.org/councils-of-london/
