province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
buckinghamshire,craft_lodge,591,Buckingham Lodge,,Aylesbury,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,631,Methuen Lodge,,Marlow,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,840,Scientific Lodge,,Wolverton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,948,Lodge of St. Barnabas,,Linslade,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,1410,Saint Peter and Saint Pauls' Lodge,,Newport Pagnell,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,1501,Wycombe Lodge,,Marlow,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,1639,Watling Street Lodge,,Stony Stratford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,1787,Grenville Lodge,,Buckingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,1894,Herschel Lodge,,Slough,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,2244,Cowper and Newton Lodge,,Newport Pagnell,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,2262,Dagmar Lodge,,Beaconsfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,2309,Christopher Lodge,,Beaconsfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,2420,Ferdinand de Rothschild Lodge,,Aylesbury,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
buckinghamshire,craft_lodge,2421,Carrington Lodge,,Marlow,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Buckinghamshire,,
