province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
cambridgeshire,craft_lodge,1492,Alma Mater Lodge,CB2 1NA,,"Last Saturday February, September. 3rd Saturday May. 1st Saturday November. 2nd Saturday December.",December,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,7429,Cambridge Installed Masters Lodge,CB2 1NA,,2nd Friday May. 1st Friday October.,May,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,9927,Cambridgeshire Lodge of Provincial Grand Stewards,CB2 1NA,,"3rd Friday April, 2nd Monday September.",April,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,9687,Cambridgeshire Meridian Lodge,CB2 1NA,,"1st Thursday March. 1st Tuesday October, December.",October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,8655,Descensus Aquarum Lodge,,Ely,3rd Wednesday October to April except December.,October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,10058,Epicurean Lodge,PE16 6ED,,"4th Friday January, 2nd Friday March, 1st Friday June and 2nd Friday September.",September,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,2107,Etheldreda Lodge,CB8 9AE,,3rd Thursday October to April.,February,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,9933,Fenland Farmers Lodge,PE7 1BS,,"2nd Friday January, February, November, December. 3rd Friday May.",May,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,9858,Fenland Meridian Lodge,PE13 3DB,,"4th Tuesday February, April, November.",February,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,10002,Fundamental Lodge,PE7 1BS,,"3rd Wednesday February, April,May,October, December.",April,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,6125,Gild of Holy Trinity Lodge,PE13 3DB,,1st Wednesday October to April.,October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,7288,Gild of St. Mary Lodge,CB2 1NA,,3rd Thursday October to April.,November,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,6179,Granta Lodge,CB8 9AE,,"3rd Saturday March, May, September, November.",November,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,4334,Gray Lodge,PE16 6ED,,3rd Wednesday October to April.,January,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,10027,Hutchinson Masters Lodge,,Ely,1st Thursday March. 1st Tuesday November.,March,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,859,Isaac Newton University Lodge,CB2 1NA,,"Last Tuesday January, October. 1st Saturday March, December. Last Saturday April. 2nd Tuesday June.",October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,5810,Kynaston Lodge,CB2 1NA,,"4th Thursday January to April, September, October. 1st Thursday December.",October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,441,Lodge of Three Grand Principles,CB2 1NA,,1st Monday October to April.,January,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,809,Lodge of United Good Fellowship,PE13 3DB,,"4th Wednesday January, February, March, October, November. 3rd Wednesday December. 1st Wednesday May.",May,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,9804,Logistica Lodge,CB8 9AE,,"3rd Monday January, April, July, October.",October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,8590,Nourse Lodge,CB2 1NA,,2nd Thursday October to March.,November,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,4520,Old Leysian Lodge,CB2 1NA,,"1st Tuesday March. 2nd Wednesday May, September. Last Friday November.",March,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,88,Scientific Lodge,CB2 1NA,,2nd Monday October to April.,January,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,4087,St. Andrew Lodge,PE7 1BS,,2nd Tuesday October to May.,October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,2727,St. Audrey Lodge,,Ely,2nd Tuesday October to May.,November,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,7774,St. Ovin Lodge,,Ely,4th Tuesday September to April except December.,September,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,8374,St. Wendred Lodge,CB8 9AE,,"2nd Wednesday January, May, July, September, November. 4th Wednesday March.",May,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,3201,The Caldwell Lodge,PE15 9LS,,3rd Tuesday September to April.,April,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,3532,The Cantabrigia Lodge,CB2 1NA,,4th Wednesday October to April except December.,October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,9511,The Porta Lodge,,Ely,"1st Friday February, April, December. 2nd Friday October.",October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,6704,The Stone Cross Lodge,PE15 9LS,,"4th Friday November to April except December. 3rd Friday September, October.",October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,7333,Thirkill Lodge,CB2 1NA,,3rd Monday October to May except December.,November,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,10010,United Services Lodge,CB8 9AE,,"4th Wednesday February, April, November. 4th Monday September.",September,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,craft_lodge,7959,Virtute et Fide Lodge,CB2 1NA,,"Friday before 4th Saturday January, March. Friday before 3rd Saturday May, September, November.",May,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,2727,Caldwell Chapter,,Ely,"3rd Monday January, April, October.",October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,7429,Cambridgeshire First Principals’ Chapter,CB2 1NA,,1st Friday March. Last Friday September.,September,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,8374,Cambridgeshire Meridian Chapter,CB8 9AE,,"2nd Thursday February, October. 4th Thursday May.",May,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,3532,Cantabrigia Chapter,CB2 1NA,,"1st Friday February, May, November.",November,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,441,Chapter of Fidelity,CB2 1NA,,"3rd Friday January, March, October.",March,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,7333,Chapter of Probity,CB2 1NA,,"3rd Tuesday March, 4th Thursday November.",November,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,88,Chapter of Pythagoras,CB2 1NA,,"Last Monday February, November. 1st Thursday May.",May,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,809,Etheldreda Chapter,PE13 3DB,,"3rd Wednesday March, 2nd Wednesday October, December.",March,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,859,Euclid Chapter,CB2 1NA,,"3rd Tuesday March,May. Last Tuesday but one October.",October,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,4334,Gray Chapter,PE16 6ED,,"Last Wednesday March, September. 2nd Wednesday May.",September,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,5810,Kynaston Chapter,CB2 1NA,,"2nd Friday January. 4th Monday March, September.",March,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,2107,Saint Etheldreda Chapter,CB8 9AE,,"4th Monday January, April, October.",April,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,4087,St Andrew Chapter,PE7 1BS,,"4th Tuesday February, April, October.",April,https://pglcambs.org.uk/lodges-chapters/
cambridgeshire,royal_arch,3201,St Wendreda Chapter,PE15 9LS,,"1st Tuesday January, March, May, November.",May,https://pglcambs.org.uk/lodges-chapters/
