province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
cornwall,craft_lodge,75,Lodge of Love and Honour,,,,,https://onthesquare.co/lodge/lodge-of-love-and-honour/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,121,Mount Sinai Lodge,,,,,https://onthesquare.co/lodge/mount-sinai-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,131,The Lodge of Fortitude,,,,,https://onthesquare.co/lodge/the-lodge-of-fortitude/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,318,True and Faithful Lodge,,,,,https://onthesquare.co/lodge/true-and-faithful-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,330,One and All Lodge,,,,,https://onthesquare.co/lodge/one-and-all-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,331,Phoenix Lodge of Honor & Prudence,,,,,https://onthesquare.co/lodge/phoenix-lodge-of-honor-prudence/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,450,Cornubian Lodge,,,,,https://onthesquare.co/lodge/cornubian-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,496,Peace and Harmony Lodge,,,,,https://onthesquare.co/lodge/peace-and-harmony-lodge-no-496/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,510,St. Martin’s Lodge,,,,,https://onthesquare.co/lodge/st-martins-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,557,Loyal Victoria Lodge,,,,,https://onthesquare.co/lodge/loyal-victoria-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,589,Druids’ Lodge Of Love & Liberality,,,,,https://onthesquare.co/lodge/druids-lodge-of-love-liberality/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,699,Boscawen Lodge,,,,,https://onthesquare.co/lodge/boscawen-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,789,Dunheved Lodge,,,,,https://onthesquare.co/lodge/dunheved-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,856,Restormel Lodge,,,,,https://onthesquare.co/lodge/restormel-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,893,Meridian Lodge,,,,,https://onthesquare.co/lodge/meridian-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,967,Lodge of the Three Grand Principles,,,,,https://onthesquare.co/lodge/lodge-of-the-three-grand-principles/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,970,St. Anne’s Lodge,,,,,https://onthesquare.co/lodge/st-annes-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,977,Fowey Lodge,,,,,https://onthesquare.co/lodge/fowey-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1006,Tregullow Lodge,,,,,https://onthesquare.co/lodge/tregullow-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1071,Zetland Lodge,,,,,https://onthesquare.co/lodge/zetland-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1136,Carew Lodge,,,,,https://onthesquare.co/lodge/carew-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1151,Saint Andrew Lodge,,,,,https://onthesquare.co/lodge/saint-andrew-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1164,Eliot Lodge,,,,,https://onthesquare.co/lodge/eliot-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1272,Tregenna Lodge,,,,,https://onthesquare.co/lodge/tregenna-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1529,Duke Of Cornwall Lodge,,,,,https://onthesquare.co/lodge/duke-of-cornwall-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1544,Mount Edgcumbe Lodge,,,,,https://onthesquare.co/lodge/mount-edgcumbe-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1785,St. Petroc Lodge,,,,,https://onthesquare.co/lodge/st-petroc-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,1954,Molesworth Lodge,,,,,https://onthesquare.co/lodge/molesworth-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,2166,Cotehele Lodge,,,,,https://onthesquare.co/lodge/cotehele-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,2369,The Cornish Lodge,,,,,https://onthesquare.co/lodge/the-cornish-lodge/,,
cornwall,craft_lodge,2747,St. Michael Lodge,,,,,https://onthesquare.co/lodge/st-michael-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,3324,Cornish Masters Lodge,,,,,https://onthesquare.co/lodge/cornish-masters-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
cornwall,craft_lodge,3405,Granville Lodge,,,,,https://onthesquare.co/lodge/granville-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cornwall
