province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
cumberland_westmorland,craft_lodge,119,"Sun,Square & Compass",,Cleator Moor,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,129,Union,,Kendal,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,310,Union,,Carlisle,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,327,Wigton St John’s,,Wigton,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,339,Unanimity,,Penrith,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,872,Lewis,,Whitehaven,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,962,Sun & Sector,,Workington,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1002,Skiddaw,,Cockernouth,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1073,Greta,,Keswick,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1074,Underley,,Carnforth,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1220,Solway,,Aspatria,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1267,Kenlis,,Egremont,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1390,Whitwell,,Millom,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1400,Curwen,,Workington,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1532,Bective,,Carlisle,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1660,Arlecdon,,Cleator Moor,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,1989,Stirling,,Cleator Moor,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
cumberland_westmorland,craft_lodge,2217,Windermere,,,,,https://cumbriafreemasons.org/lodgelist/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Cumberland_&_Westmorland
