province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
derbyshire,craft_lodge,10052,The Rock Music Lodge,DE55 7AQ,,"3rd Wednesday March 4th Wednesday April 4th Wednesday Oct, 3rd Wednesday November (Installation)",,https://www.derbyshiremason.org/lodges/the-rock-music-lodge-no-10052/
derbyshire,craft_lodge,10015,Nomads Rugby Lodge,,,,,https://www.derbyshiremason.org/lodges/nomads-rugby-lodge-no-10015/
derbyshire,craft_lodge,9906,"Musket, Pike & Drum Lodge",DE56 1AP,,"1st Sat in Feb at Belper Other meetings in Jun, Aug & Nov held at other Masonic Halls",,https://www.derbyshiremason.org/lodges/musket-pike-drum-lodge-no-9906/
derbyshire,craft_lodge,10007,Resurgam Lodge,DE56 1AP,,"3rd Saturday in November, April & July November meeting at Belper Freemasons’ Hall, other meetings in different locations",,https://www.derbyshiremason.org/lodges/resurgam-lodge-10007/
derbyshire,craft_lodge,4841,Unity Lodge,DE23 6XX,,2nd Fri October to June,,https://www.derbyshiremason.org/lodges/unity-lodge-4841/
derbyshire,craft_lodge,3993,United Service Lodge of Derbyshire,DE23 6XX,,1st Fri every month excl. Jul & Aug,,https://www.derbyshiremason.org/lodges/united-service-lodge-of-derbyshire-3993/
derbyshire,craft_lodge,253,Tyrian Lodge,DE23 6XX,,4th Tue Sep to May,,https://www.derbyshiremason.org/lodges/tyrian-lodge-253/
derbyshire,craft_lodge,4147,St Werburga Lodge,DE23 6XX,,"Last Fri in Sep, Oct, Nov, Jan, Feb, Mar, Apr, May",,https://www.derbyshiremason.org/lodges/st-werburga-lodge-4147/
derbyshire,craft_lodge,9635,Tudor Lodge,DE23 6XX,,"3rd Tue in Jan, Apr, May, Sep & Oct",,https://www.derbyshiremason.org/lodges/tudor-lodge-9635/
derbyshire,craft_lodge,8773,Spencer Lodge,DE23 6XX,,"4th Thur in Sep, Dec, Jan, Feb, Mar & Jun 4th Wed in Oct, Nov & Apr",,https://www.derbyshiremason.org/lodges/spencer-lodge-8773/
derbyshire,craft_lodge,7064,Mentor Lodge,DE23 6XX,,"1st Thu in Oct, Nov, Dec, Feb, Mar, Apr & Jun",,https://www.derbyshiremason.org/lodges/mentor-lodge-7064/
derbyshire,craft_lodge,802,Lodge of Repose,DE23 6XX,,"September to May with the exception of December, on the 3rd Thursday of the month at 6.15pm.",,https://www.derbyshiremason.org/lodges/lodge-of-repose-802/
derbyshire,craft_lodge,5027,Liversage Lodge,DE23 6XX,,3rd Monday in September to May,,https://www.derbyshiremason.org/lodges/liversage-lodge-5027/
derbyshire,craft_lodge,9565,Littleover Lodge,DE23 6XX,,"1st Thu in May, Jul, Sep, Nov, Jan & Mar",,https://www.derbyshiremason.org/lodges/littleover-lodge-9565/
derbyshire,craft_lodge,1085,Hartington Lodge,DE23 6XX,,"1st Wed/month excl. June, August, September & December",,https://www.derbyshiremason.org/lodges/hartington-lodge-1085/
derbyshire,craft_lodge,9639,Grange Lodge,DE23 6XX,,"2nd Tuesday in March, May, July & September",,https://www.derbyshiremason.org/lodges/grange-lodge-9639/
derbyshire,craft_lodge,8509,Derbyshire Lodge of Installed Masters,DE23 6XX,,,,https://www.derbyshiremason.org/lodges/derbyshire-lodge-of-installed-masters-8509/
derbyshire,craft_lodge,6736,Burlington Lodge,DE23 6XX,,"4th Mon in Jan, feb, Mar, Apr, May, Sep & Oct 2nd Tue in Dec",,https://www.derbyshiremason.org/lodges/burlington-lodge-6736/
derbyshire,craft_lodge,731,Arboretum Lodge,DE23 6XX,,"2nd Wed in Jan, Feb, mar, Apr, May, Jun, Sep, Oct & Nov",,https://www.derbyshiremason.org/lodges/arboretum-lodge-731/
derbyshire,craft_lodge,8792,Longshaw Lodge,S32 2HS,,"2nd Tue every month excl. Jun, Jul & Aug",,https://www.derbyshiremason.org/lodges/longshaw-lodge-8792/
derbyshire,craft_lodge,6379,Padley Lodge,,Bakewell Town Hall,"4th Tue in Feb, Mar, Apr, May, Oct & Dec",,https://www.derbyshiremason.org/lodges/padley-lodge-6379/
derbyshire,craft_lodge,2129,Dorothy Vernon Lodge,,Bakewell Town Hall,"1st Tue in Oct, Nov, Dec, Feb, Mar, Apr, May & Sep",,https://www.derbyshiremason.org/lodges/dorothy-vernon-lodge-2129/
derbyshire,craft_lodge,884,Derwent Lodge,DE4 4FF,,"3rd Fri in Jan, Mar, Apr, Sep & Oct",,https://www.derbyshiremason.org/lodges/derwent-lodge-884/
derbyshire,craft_lodge,850,St Oswald Lodge,DE6 1EJ,,"1st Monday, October - May (2nd Monday if it falls on a Bank Holiday)",,https://www.derbyshiremason.org/lodges/st-oswald-lodge-850/
derbyshire,craft_lodge,9347,Flyfishers’ Lodge,DE6 1EJ,,Last Sat in Mar 3rd Fri in Jun 4th Fri in Sep,,https://www.derbyshiremason.org/lodges/flyfishers-lodge-9347/
derbyshire,craft_lodge,9436,Derbyshire Dales Lodge,DE6 1EJ,,"4st Wed in Jan, Mar, Jun & Oct",,https://www.derbyshiremason.org/lodges/derbyshire-dales-lodge-9436/
