province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
devonshire,craft_lodge,10063,Football Lodge South West,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,39,St John The Baptist Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,70,St John’s Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,105,The Lodge of Fortitude,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,106,The Sun Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,112,St George’s Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,156,Harmony Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,159,Brunswick Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,164,Lodge of Perserverance,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,189,The Lodge of Sincerity,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,202,The Lodge of Friendship,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,223,The Lodge of Charity,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,230,The Lodge of Fidelity,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,248,True Love and Unity Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,251,Loyal Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,282,Bedford Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,303,Benevolent Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,328,St John’s Lodge,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,372,The Lodge of Harmony,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,421,Loyal Lodge of Industry,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
devonshire,craft_lodge,444,Lodge of Union,,,,,https://devonshirefreemasons.org.uk/lodges-by-number/
