province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
dorset,craft_lodge,137,Lodge of Amity,,,,,https://onthesquare.co/lodge/lodge-of-amity/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,170,All Souls Lodge,,,,,https://onthesquare.co/lodge/all-souls-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,386,Lodge of Unity,,,,,https://onthesquare.co/lodge/lodge-of-unity/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,417,Lodge of Faith and Unanimity,,,,,https://onthesquare.co/lodge/lodge-of-faith-and-unanimity/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,472,Lodge of Friendship and Sincerity,,,,,https://onthesquare.co/lodge/lodge-of-friendship-and-sincerity/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,622,Lodge of St Cuthberga,,,,,https://onthesquare.co/lodge/lodge-of-st-cuthberga/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,665,Montagu Lodge,,,,,https://onthesquare.co/lodge/montagu-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,707,St Mary's Lodge,,,,,https://onthesquare.co/lodge/st-marys-lodge-2/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,708,Carnarvon Lodge,,,,,https://onthesquare.co/lodge/carnarvon-lodge-2/,,
dorset,craft_lodge,1037,Portland Lodge,,,,,https://onthesquare.co/lodge/portland-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,1146,De Moulham Lodge,,,,,https://onthesquare.co/lodge/de-moulham-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,1168,Lodge of Benevolence,,,,,https://onthesquare.co/lodge/lodge-of-benevolence/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,1266,Lodge of Honour and Friendship,,,,,https://onthesquare.co/lodge/lodge-of-honour-and-friendship/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,1367,Beaminster Manor Lodge,,,,,https://onthesquare.co/lodge/beaminster-manor-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,2559,St Aldhelm's Lodge,,,,,https://onthesquare.co/lodge/st-aldhelms-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,2689,King's Court Lodge,,,,,https://onthesquare.co/lodge/kings-court-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,3366,Dorset Masters Lodge,,,,,https://onthesquare.co/lodge/dorset-masters-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,3473,United Service Lodge,,,,,https://onthesquare.co/lodge/united-service-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,3625,Blackmore Vale Lodge,,,,,https://onthesquare.co/lodge/blackmore-vale-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,3878,Dunckerley Lodge,,,,,https://onthesquare.co/lodge/dunckerley-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,4355,Purbeck Lodge,,,,,https://onthesquare.co/lodge/purbeck-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,5331,Kinson Lodge,,,,,https://onthesquare.co/lodge/kinson-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
dorset,craft_lodge,6445,Loyal Manor Lodge,,,,,https://onthesquare.co/lodge/loyal-manor-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Dorset
