province_code,order,number,name,hall_postcode,meets_text,installation_text,source_url
durham,craft_lodge,48,Lodge of Industry,NE8 1RB,"We meet on the fourth Monday of each month with the exception of June, July, August and December.",,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-of-industry-l48
durham,craft_lodge,94,Phoenix Lodge,SR1 2HT,1st Wednesday each month (except August) - Installation December.,,https://durhamfreemasons.org/lodges/lodge.php?slug=phoenix-l94
durham,craft_lodge,97,Palatine Lodge,SR2 7DX,"The Lodge meets ten times a year on the second Thursday of the month, between September and June, except for July and August. Lodge proceedings normally start at 7:00pm. The Installation of a new Master and his officers takes place at the December meeting.",,https://durhamfreemasons.org/lodges/lodge.php?slug=palatine-l97
durham,craft_lodge,111,Restoration Lodge,DL3 6LS,"Last Thursday Jan to May, Sep to Dec.",,https://durhamfreemasons.org/lodges/lodge.php?slug=restoration-l111
durham,craft_lodge,124,Marquis of Granby Lodge,DH1 3HN,"First Tuesday in January (Inst), March, April, May, June, August, September, October, November and December.",,https://durhamfreemasons.org/lodges/lodge.php?slug=marquis-of-granby-l124
durham,craft_lodge,240,St Hilda Lodge,NE33 2DQ,19:00hrs Second Monday of every month. Lodge instruction last Friday of month. Practice Sunday before regular meeting. Installation December.,,https://durhamfreemasons.org/lodges/lodge.php?slug=st-hilda-l240
durham,craft_lodge,375,Lambton Lodge,DH1 3HN,"2nd Friday in March, May, October and November (Installation).",,https://durhamfreemasons.org/lodges/lodge.php?slug=lambton-l375
durham,craft_lodge,509,Tees Lodge,TS18 1RD,"1st Thursday of the month (except June, July, and August), (December is Installation meeting).",,https://durhamfreemasons.org/lodges/lodge.php?slug=tees-l509
durham,craft_lodge,531,St Helens Lodge,TS24 0QN,,,https://durhamfreemasons.org/lodges/lodge.php?slug=st-helens-l531
durham,craft_lodge,661,Fawcett Lodge,SR7 7AA,2nd Wednesday September - June (Installation March).,,https://durhamfreemasons.org/lodges/lodge.php?slug=fawcett-l661
durham,craft_lodge,940,Lodge of Philanthropy,TS18 1RD,Third Thursday in September to May (7pm Start). Installation February.,,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-of-philanthropy-l940
durham,craft_lodge,1119,St Bede Lodge,NE32 3LD,On the last Wednesday of each month (December Third Wednesday) except for the months of July & August.,,https://durhamfreemasons.org/lodges/lodge.php?slug=st-bede-l1119
durham,craft_lodge,1121,Wear Valley Lodge,DL4 1NN,"1st Wednesday, October to July. (Installation January)",,https://durhamfreemasons.org/lodges/lodge.php?slug=wear-valley-l1121
durham,craft_lodge,1230,Barnard Lodge,DL12 8NJ,The First Friday every month at 6:45 pm except July and August. Installation meeting February 5:30 pm start,,https://durhamfreemasons.org/lodges/lodge.php?slug=barnard-l1230
durham,craft_lodge,1274,Earl of Durham Lodge,DH3 3DU,The first Friday of each Month except July/August.,,https://durhamfreemasons.org/lodges/lodge.php?slug=earl-of-durham-l1274
durham,craft_lodge,1334,Norman Lodge,DH1 3HN,"The Third Wednesday of September, October, November, December, January, February, March, April, May & June.",,https://durhamfreemasons.org/lodges/lodge.php?slug=norman-l1334
durham,craft_lodge,1379,Marquess of Ripon Lodge,DL3 6LS,2nd Thursday of each month from October to June,,https://durhamfreemasons.org/lodges/lodge.php?slug=marquess-of-ripon-l1379
durham,craft_lodge,1389,Fenwick Lodge,SR2 7DX,"3rd Friday of the month starting at 6:45pm prompt, between October to May.",,https://durhamfreemasons.org/lodges/lodge.php?slug=fenwick-l1389
durham,craft_lodge,1418,Lodge of Fraternity,TS18 1RD,"4th Thursday, September to May, normally commencing at 7pm. Installation in April.",,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-of-fraternity-l1418
durham,craft_lodge,1650,Rose of Raby Lodge,DL2 3JP,Last Tuesday of every month. (Installation is in April).,,https://durhamfreemasons.org/lodges/lodge.php?slug=rose-of-raby-l1650
durham,craft_lodge,1862,Stranton Lodge,TS24 8AH,The first Wednesday of each month (July & August closed).,,https://durhamfreemasons.org/lodges/lodge.php?slug=stranton-l1862
durham,craft_lodge,1932,Whitworth Lodge,DL16 6AS,"Our meetings usually start at 6.45pm and finish around 10.00pm on the 2nd Wednesday of each month but June, August and November. The Installation ceremony takes place in September.",,https://durhamfreemasons.org/lodges/lodge.php?slug=whitworth-l1932
durham,craft_lodge,1970,Hadrian Lodge,NE33 2DQ,,,https://durhamfreemasons.org/lodges/lodge.php?slug=hadrian-l1970
durham,craft_lodge,2019,Crook Lodge,DL15 9BG,"4th Wednesday except for July, August and December - Installation March. Meetings start at 6.45pm, Installation meeting in March starts at 5.30pm.",,https://durhamfreemasons.org/lodges/lodge.php?slug=crook-l2019
durham,craft_lodge,2352,Universities Lodge,DH1 3HN,"Third Thursdays in January, March, May, June (guests and ladies night), and October-Installation. Second Thursday in September.",,https://durhamfreemasons.org/lodges/lodge.php?slug=universities-l2352
durham,craft_lodge,2415,Tristram Lodge,DL4 1NN,Second Tuesday in the month except in February and September. Installation in November.,,https://durhamfreemasons.org/lodges/lodge.php?slug=tristram-l2415
durham,craft_lodge,2418,Hedworth Lodge,NE34 6AS,On the last THURSDAY in January; February; March; April; May; August; September; October; November & December. Our annual Installation is held in the month of February. This is when the Lodge install a new Master for the ensuing year. He then in turn invests his officers and wardens to assist him in his duties.,,https://durhamfreemasons.org/lodges/lodge.php?slug=hedworth-l2418
durham,craft_lodge,2462,Clarence Lodge,TS24 8AH,7:00 PM on the 4th Thursday of each month except July and December.,,https://durhamfreemasons.org/lodges/lodge.php?slug=clarence-l2462
durham,craft_lodge,2791,Hudson Lodge,DL13 3AN,"The 1st Wednesday in February to June, & September (Installation) to December",,https://durhamfreemasons.org/lodges/lodge.php?slug=hudson-l2791
durham,craft_lodge,2929,Coronation Lodge,DH9 8AD,3rd Wednesday Except July/August - Installation November.,,https://durhamfreemasons.org/lodges/lodge.php?slug=coronation-l2929
durham,craft_lodge,2935,Lord Barnard Lodge,NE33 2DQ,"3rd Tuesday of each month, 12 months a year.",,https://durhamfreemasons.org/lodges/lodge.php?slug=lord-barnard-l2935
durham,craft_lodge,2981,Connaught Lodge,TS24 8AH,,,https://durhamfreemasons.org/lodges/lodge.php?slug=connaught-l2981
durham,craft_lodge,3076,Bernard Gilpin Lodge,DH5 9JB,3rd Tuesday.,,https://durhamfreemasons.org/lodges/lodge.php?slug=bernard-gilpin-l3076
durham,craft_lodge,3110,Vane Lodge,DL4 1NN,"7 Times a Year: 2nd Friday of February, April, June, September, October, November, and Installation meeting December.",,https://durhamfreemasons.org/lodges/lodge.php?slug=vane-l3110
durham,craft_lodge,3137,Vedra Lodge,SR2 7DX,,,https://durhamfreemasons.org/lodges/lodge.php?slug=vedra-l3137
durham,craft_lodge,3194,Penshaw Lodge,DH4 7LQ,3rd Wednesday of every month @ 6:45pm except for July and August when we are in recess. Our Installation meeting is held in February commencing at 5:00pm.,,https://durhamfreemasons.org/lodges/lodge.php?slug=penshaw-l3194
durham,craft_lodge,3242,St Paul Lodge,NE32 3LD,1st Thursday in the Month from September until June (inclusive) - Start at 7pm Installation meeting February - Start at 5.30pm No meeting - July & August,,https://durhamfreemasons.org/lodges/lodge.php?slug=st-paul-l3242
durham,craft_lodge,3349,Tow Law Lodge,DL13 4LE,"The third Wednesday of the month from March to December, not meeting in January and February. Start at 18:45. Installation in June Starts at 17:30.",,https://durhamfreemasons.org/lodges/lodge.php?slug=tow-law-l3349
durham,craft_lodge,3360,The Rowlandson Lodge,DL17 8HX,The LAST Wednesday of the month August - June x11 meetings.,,https://durhamfreemasons.org/lodges/lodge.php?slug=the-rowlandson-l3360
durham,craft_lodge,3417,The St Cuthbert Lodge,DL3 6LS,The 1st Tuesday in February (Installation) to June & September to December.,,https://durhamfreemasons.org/lodges/lodge.php?slug=the-st-cuthbert-l3417
durham,craft_lodge,3520,Stanhope Lodge,DL13 2XF,2nd Wednesday Sept - June. Installation Oct.,,https://durhamfreemasons.org/lodges/lodge.php?slug=stanhope-l3520
durham,craft_lodge,3568,City Lodge,DH1 3HN,"2nd Thursday in October to May, 3rd Tuesday in June, Installation February.",,https://durhamfreemasons.org/lodges/lodge.php?slug=city-l3568
durham,craft_lodge,3616,Liddell Lodge,NE11 9TJ,"the 4th Friday in the months of January, February, March, May, September, October (Installation) November and December.",,https://durhamfreemasons.org/lodges/lodge.php?slug=liddell-lodge-3616
