province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
essex,craft_lodge,51,Angel,CO2 7EZ,,"4th Tuesday of January, February, March, April, May, November, December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,160,Lodge of True Friendship,SS4 1BQ,,"3rd Tuesday of February, March, April, September, October, November",January,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,214,Lodge of Hope and Unity,CM13 2NS,,"3rd Tuesday of January, March, September, November",,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,276,Lodge of Good Fellowship,,,"1st Thursday of February, March, April, May, October, November",December,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,433,Lodge of Hope,,,"3rd Monday of February, March, April, May, September, October, November, December",,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,453,Chigwell,E4 7AZ,,"4th Thursday of April. 2nd Thursday of September, November",June,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,650,Star in the East,,,"2nd Tuesday of January, February, March, April, May, September, November, December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,697,United,CO2 7EZ,,"3rd Wednesday of February, March, April, June, October, November, December",May,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1000,Priory,SS2 6UN,,"3rd Thursday of February, March, September, October, November",January,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1024,Lodge of St Peter,CM9 4QD,,"4th Wednesday of January, February, March, April, May, September, November. 3rd Wednesday of December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1280,Walden,CB10 1JW,,"2nd Thursday of March, April, December",November,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1312,Lodge of Saint Mary,CM7 9AA,,"2nd Monday of February, March, April, September, October, December",November,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1343,Saint John's,RM16 4DH,,"4th Wednesday of January, March, September, November",May,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1421,Langthorne,CM7 9AA,,"1st Thursday of April, May, October, November, December",February,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1437,Liberty of Havering,,,"4th Friday of February, April. 2nd Friday of November",September,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1457,Bagshaw,IG10 4BL,,"2nd Thursday of March, May, December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1543,Rosslyn,CM7 9AA,,"4th Wednesday of January, February, March, September, November",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1734,Trinity,SS4 1BQ,,"2nd Wednesday of January, February, April, October, November",March,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1799,Arnold,,,"1st Wednesday of February, March, April, November, December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1817,St Andrew's,SS2 6UN,,"4th Wednesday of January, March, April, November",September,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,1977,Blackwater,CO2 7EZ,,"2nd Monday of January, February, March, May, October, November, December",,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2005,Brooke,IG10 4BL,,"2nd Saturday of January, April. 1st Saturday of December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2006,Tilbury,E4 7AZ,,"2nd Saturday of March, September. 4th Saturday of November",June,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2063,St Osyth's Priory,,,"3rd Friday of January, February, March, April, November, December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2154,Joshua Nunn,CO9 2JZ,,"3rd Thursday of January, February, March, April, September, November, December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2184,Royal Victorian Jubilee,,,"4th Thursday of February, June, November. 2nd Thursday of September",April,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2255,Philbrick,E4 7AZ,,"1st Wednesday of February, April, December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2256,Warner,E4 7AZ,,"2nd Tuesday of February, April, December",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2291,West Ham Abbey,,,2nd Friday of May. 4th Friday of October. 2nd Wednesday of December,February,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2339,Mistley,CO11 1BG,,"last Thursday of January, February, March, April, September, October, November",May,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2342,Easterford,CO5 9DX,,"1st Thursday of January, February, March, May, June, July, October, November, December",April,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2442,St Clements,SS2 6UN,,"2nd Monday of April, October, December",February,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2477,Colne,CO7 9AH,,"2nd Tuesday of February, March, April, May, October, December",November,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2501,Ixion,,,"2nd Thursday of March, July, September. 3rd Thursday of November",May,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2504,Earl of Warwick,IG10 4BL,,"1st Friday of June, October, December",April,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2508,Thomas Ralling,IG10 4BL,,"4th Saturday of May, September. 1st Saturday of July",April,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2561,West Essex,,,"4th Tuesday of January, March, November",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2707,Weald,CM13 2NS,,"3rd Thursday of February, April, October. 1st Thursday of December",,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2717,Albert Lucking,SS2 6UN,,"3rd Saturday of January, February, March, November",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2749,Seven Kings,,,3rd Friday of February. 4th Saturday of April. 1st Saturday of June,November,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2750,Waltham Abbey,E4 7AZ,,"1st Monday of June, October. 3rd Monday of November",April,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2757,Charles Dickens,IG10 4BL,,"2nd Monday of January. 1st Saturday of April, June. 2nd Saturday of July",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2859,Chingford,E4 7AZ,,"3rd Saturday of March, June, September",December,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2936,Richard Clowes,,,3rd Saturday of March. 2nd Saturday of June,September,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2949,Frituna,,,"1st Saturday of March, December. 2nd Saturday of May",October,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,2976,Comrades,CO2 7EZ,,"3rd Monday of January, March, May, September",November,https://www.essexfreemasons.org.uk/calendar,
essex,craft_lodge,3050,Bishop of Barking,,,"3rd Monday of February, December. 4th Monday of April",October,https://www.essexfreemasons.org.uk/calendar,
