province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
gloucestershire,craft_lodge,82,Foundation Lodge,GL52 2PB,,"4th Wednesday in September, October, November, January, February, March, April, May, and the 3rd Tuesday in December.",,https://www.glosmasons.org.uk/lodges/foundation-lodge-no-82/
gloucestershire,craft_lodge,218,Lodge of True Friendship,BS16 1DT,,"2nd Thursday in February, June, October, December, and the 2nd Saturday in April.",,https://www.glosmasons.org.uk/lodges/lodge-of-true-friendship-no-218/
gloucestershire,craft_lodge,246,Royal Union Lodge,GL52 2PB,,"3rd Wednesday in September, October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/royal-union-lodge-no-246/
gloucestershire,craft_lodge,270,Royal Lodge of Faith and Friendship,GL13 9BG,,"On the Monday nearest to the full moon in October, November, December, January, February, March, April, May, and June.",,https://www.glosmasons.org.uk/lodges/royal-lodge-of-faith-and-friendship-no-270/
gloucestershire,craft_lodge,493,Royal Lebanon Lodge,GL1 2HQ,,"1st Tuesday in October,November, December, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/royal-lebanon-lodge-no-493/
gloucestershire,craft_lodge,592,Cotteswold Lodge,GL7 1EH,,"3rd Wednesday in September, October, November, December, January, February, March, and April.",,https://www.glosmasons.org.uk/lodges/cotteswold-lodge-no-592/
gloucestershire,craft_lodge,702,Sherborne Lodge,GL5 4EP,,"1st Tuesday in October, November, December, January, February, and March.",,https://www.glosmasons.org.uk/lodges/sherborne-lodge-no-702/
gloucestershire,craft_lodge,761,St John’s Lodge,GL12 7BE,,"3rd Thursday in October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/st-johns-lodge-no-761/
gloucestershire,craft_lodge,839,Royal Gloucestershire Lodge,GL1 2HQ,,"1st Monday in October, November, December, January, March, and April.",,https://www.glosmasons.org.uk/lodges/royal-gloucestershire-lodge-no-839/
gloucestershire,craft_lodge,855,Lodge of Sympathy,GL12 7BE,,"4th Tuesday in October, November, January, February, March, April, May, and the 3rd Tuesday in December",,https://www.glosmasons.org.uk/lodges/lodge-of-sympathy-no-855/
gloucestershire,craft_lodge,900,Saint George’s Lodge,GL20 5NP,,"3rd Tuesday in September, October, November, December, January, February, March, April (on St George’s day or the previous Tuesday if the 3rd April falls on a Sunday)",,https://www.glosmasons.org.uk/lodges/saint-georges-lodge-no-900/
gloucestershire,craft_lodge,951,Prince of Wales Lodge,GL54 1BB,,"The Friday on or before the full moon in September, October, November, December, January, February, March, April and May.",,https://www.glosmasons.org.uk/lodges/prince-of-wales-lodge-no-951/
gloucestershire,craft_lodge,1005,Zetland Lodge,GL1 2HQ,,"2nd Wednesday in September, October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/zetland-lodge-no-1005/
gloucestershire,craft_lodge,1067,Royal Forest of Dean Lodge,GL14 1DA,,"2nd Thursday in October, November, December, January, February, March, April, and May",,https://www.glosmasons.org.uk/lodges/royal-forest-of-dean-lodge-no-1067/
gloucestershire,craft_lodge,1363,Tyndall Lodge,BS16 5TB,,"1st Thursday in September, October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/tyndall-lodge-no-1363/
gloucestershire,craft_lodge,2407,Hicks Beach Lodge,GL5 4EP,,"3rd Tuesday in October, November, December, January, February, March, and April.",,https://www.glosmasons.org.uk/lodges/hicks-beach-lodge-no-2407/
gloucestershire,craft_lodge,2541,St. Andrews Lodge,BS11 9JE,,"1st Wednesday in October, November, December, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/st-andrews-lodge-no-2541/
gloucestershire,craft_lodge,2709,Royal York Lodge,GL5 4EP,,"2nd Tuesday in October, November, December, January, February, and March.",,https://www.glosmasons.org.uk/lodges/royal-york-lodge-no-2709/
gloucestershire,craft_lodge,2994,Vassar-Smith Lodge,,Lydney,"3rd Thursday in September, October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/vassar-smith-lodge-no-2994/
gloucestershire,craft_lodge,4140,Royal Edward Lodge,BS11 9JE,,"2nd Friday in October, November, December, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/royal-edward-lodge-no-4140/
gloucestershire,craft_lodge,4155,Black Horse of Lombard Street Lodge,BS16 5TB,,"2nd Wednesday in March, October, November, and the 1st Wednesday in February.",,https://www.glosmasons.org.uk/lodges/black-horse-of-lombard-street-lodge-no-4155/
gloucestershire,craft_lodge,4329,Sodbury Vale Lodge,BS37 6AA,,"2nd Wednesday in September, October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/sodbury-vale-lodge-no-4329/
gloucestershire,craft_lodge,4554,Perseverance Lodge,GL52 2PB,,"2nd Wednesday in September, October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/perseverance-lodge-no-4554/
gloucestershire,craft_lodge,4666,Kingswood Chase Lodge,BS16 5TB,,"3rd Thursday in September, October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/kingswood-chase-lodge-no-4666/
gloucestershire,craft_lodge,5452,Chipping Campden Lodge,GL55 6HB,,"4th Monday in September, October, November, January, February, March, April, and the 3rd Monday in December.",,https://www.glosmasons.org.uk/lodges/chipping-campden-lodge-no-5452/
gloucestershire,craft_lodge,5457,Civitas Lodge,GL1 2HQ,,"4th Friday in September, October, November, January, February, March, April, and the 3rd Friday in December.",,https://www.glosmasons.org.uk/lodges/civitas-lodge-no-5457/
gloucestershire,craft_lodge,5498,Downend Lodge,BS16 5TB,,"2nd Monday in September, October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/downend-lodge-no-5498/
gloucestershire,craft_lodge,5928,St. Lawrence Lodge,GL5 4EP,,"3rd Friday in September, October, November, January, February, March and April.",,https://www.glosmasons.org.uk/lodges/st-lawrence-lodge-no-5928/
gloucestershire,craft_lodge,6043,Staple Hill Lodge,BS16 5TB,,"4th Wednesday in September, October, November, January, February, March, April, May and the 3rd Wednesday in December.",,https://www.glosmasons.org.uk/lodges/staple-hill-lodge-no-6043/
gloucestershire,craft_lodge,6231,Regency Lodge,GL52 2PB,,"1st Tuesday in October, November, December, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/regency-lodge-no-6231/
gloucestershire,craft_lodge,6313,Earl Bathurst Lodge,GL7 1EH,,"1st Monday in October, November, December, January, February, March, and April.",,https://www.glosmasons.org.uk/lodges/earl-bathurst-lodge-no-6313/
gloucestershire,craft_lodge,6333,Kings Weston Lodge,BS11 9JE,,"4th Friday in October, November, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/kings-weston-lodge-no-6333/
gloucestershire,craft_lodge,6498,Filton Lodge of Fortitude,BS16 1DT,,"4th Monday in September, October, November, January, February, March, April and the 3rd Wednesday in December.",,https://www.glosmasons.org.uk/lodges/filton-lodge-of-fortitude-lodge-no-6498/
gloucestershire,craft_lodge,6943,Lodge of Fidelity Lodge,BS16 1DT,,"3rd Monday in October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/lodge-of-fidelity-lodge-no-6943/
gloucestershire,craft_lodge,6949,Mythe Lodge,GL20 5NP,,"Last Wednesday in September, October, November, January, February, March, April, and the 3rd Wednesday in December.",,https://www.glosmasons.org.uk/lodges/mythe-lodge-no-6949/
gloucestershire,craft_lodge,7186,Vale of Castiard Lodge,,Lydney,"1st Wednesday in October, November, December, January, February, March, April, and May",,https://www.glosmasons.org.uk/lodges/vale-of-castiard-lodge-no-7186/
gloucestershire,craft_lodge,7223,Seven Springs Lodge,GL52 2PB,,"4th Monday in September, October, November, January, February, March, April, and the 3rd Monday in December.",,https://www.glosmasons.org.uk/lodges/seven-springs-lodge-no-7223/
gloucestershire,craft_lodge,7228,Old Wycliffian Lodge,GL5 4EP,,"4th Friday in April, 2nd Friday in July, 1st Friday in October and the 2nd Saturday in December.",,https://www.glosmasons.org.uk/lodges/old-wycliffian-lodge-no-7228/
gloucestershire,craft_lodge,7385,Glevum Lodge,GL1 2HQ,,"2nd Tuesday in October, November, December, January, February, March, and April.",,https://www.glosmasons.org.uk/lodges/glevum-lodge-no-7385/
gloucestershire,craft_lodge,7507,Mercurius Lodge,GL52 2PB,,"3rd Friday in October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/mercurius-lodge-no-7507/
gloucestershire,craft_lodge,7534,Richard Whittington Lodge,GL1 2HQ,,"3rd Friday in February, March, April, October, and November.",,https://www.glosmasons.org.uk/lodges/richard-whittington-lodge-no-7534/
gloucestershire,craft_lodge,7658,Lodge of Sincerity,BS16 1DT,,"1st Wednesday in October, November, December, February, March, April, May, and June.",,https://www.glosmasons.org.uk/lodges/lodge-of-sincerity-no-7658/
gloucestershire,craft_lodge,7694,Royal Agricultural College Lodge,GL7 1EH,,"3rd Friday in January, February, March, October, and November.",,https://www.glosmasons.org.uk/lodges/royal-agricultural-college-lodge-no-7694/
gloucestershire,craft_lodge,7697,Orpheus Lodge,BS16 5TB,,"1st Monday in October, November, December, January, February, March, April, June, and the 1st Wednesday in May.",,https://www.glosmasons.org.uk/lodges/orpheus-lodge-no-7697/
gloucestershire,craft_lodge,7828,Old Patesian Lodge,GL52 2PB,,"1st Wednesday in February, 3rd Tuesday in April and September, 1st Friday in November, and the 1st Saturday in December.",,https://www.glosmasons.org.uk/lodges/old-patesian-lodge-no-7828/
gloucestershire,craft_lodge,7831,Manor of Ashley Lodge,GL52 2PB,,"4th Tuesday in October, November, January, February, March, April, May, and the 2nd Tuesday in December.",,https://www.glosmasons.org.uk/lodges/manor-of-ashley-lodge-no-7831/
gloucestershire,craft_lodge,7890,Lygrove Lodge,BS37 6AA,,"4th Tuesday in September, October, November, January, February, March, April, May and the 3rd Tuesday in December.",,https://www.glosmasons.org.uk/lodges/lygrove-lodge-no-7890/
gloucestershire,craft_lodge,7900,Gloucestershire Installed Masters’ Lodge,GL12 7BE,,1st Thursday in June and the last Tuesday in October.,,https://www.glosmasons.org.uk/lodges/gloucestershire-installed-masters-lodge-no-7900/
gloucestershire,craft_lodge,8021,Vigilantia Lodge,GL5 4EP,,"1st Saturday in October, November, December, January, February, March and April.",,https://www.glosmasons.org.uk/lodges/vigilantia-lodge-no-8021/
gloucestershire,craft_lodge,8056,May Hill Lodge,GL1 2HQ,,"4th Tuesday in October, November, January, February, March, April, and the 3rd Tuesday in December.",,https://www.glosmasons.org.uk/lodges/may-hill-lodge-no-8056/
gloucestershire,craft_lodge,8067,Chosen Hill Lodge,GL1 2HQ,,"2nd Friday in October, November, December, February, March, and April.",,https://www.glosmasons.org.uk/lodges/chosen-hill-lodge-no-8067/
gloucestershire,craft_lodge,8106,Lodge of Harmony and Concord,BS16 1DT,,"2nd Tuesday in October, November, December, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/lodge-of-harmony-and-concord-no-8106/
gloucestershire,craft_lodge,8119,Western Tideway Lodge,BS11 9JE,,"3rd Monday in October, November, January, March & May",,https://www.glosmasons.org.uk/lodges/western-tideway-lodge-no-8119/
gloucestershire,craft_lodge,8229,Lodge of St Paul,GL52 2PB,,"3rd Thursday in October, November, December, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/lodge-of-st-paul-no-8229/
gloucestershire,craft_lodge,8319,Lodge of the Perfect Ashlar,GL12 7BE,,"1st Saturday in March, 1st Friday in April, May & October, 2nd Friday in June & November",,https://www.glosmasons.org.uk/lodges/lodge-of-the-perfect-ashlar-no-8319/
gloucestershire,craft_lodge,8394,Kendleshire Lodge,BS16 5TB,,"2nd Tuesday in September, October, November, January, February, March, April, May, and the 1st Tuesday in December.",,https://www.glosmasons.org.uk/lodges/kendleshire-lodge-no-8394/
gloucestershire,craft_lodge,8499,Old Marlingtonian Lodge,GL5 4EP,,"4th Saturday in January, March, September, November, and the 3rd Friday in May.",,https://www.glosmasons.org.uk/lodges/old-marlingtonian-lodge-no-8499/
gloucestershire,craft_lodge,8566,Lodge of Grace,GL12 7BE,,"3rd Wednesday in January, March, April, May, October and November,",,https://www.glosmasons.org.uk/lodges/lodge-of-grace-no-8566/
gloucestershire,craft_lodge,8658,Frome Valley Lodge,BS37 6AA,,"3rd Tuesday in September, October, November, January, February, March, April, May, and the 2nd Tuesday in December.",,https://www.glosmasons.org.uk/lodges/frome-valley-lodge-no-8658/
gloucestershire,craft_lodge,8751,Innsworth Lodge,GL1 2HQ,,"4th Saturday in January, February, April, September, and November.",,https://www.glosmasons.org.uk/lodges/innsworth-lodge-no-8751/
gloucestershire,craft_lodge,8909,Hambrook Lodge,BS16 1DT,,"4th Tuesday in September, November, February, April, and the 3rd Tuesday in October, January, and March.",,https://www.glosmasons.org.uk/lodges/hambrook-lodge-no-8909/
gloucestershire,craft_lodge,8976,Sudeley Castle Lodge,GL54 1BB,,"3rd Monday in September, October, November, December, January, February, March, and the 4th Monday in April.",,https://www.glosmasons.org.uk/lodges/sudeley-castle-lodge-no-8976/
gloucestershire,craft_lodge,9017,Gloucestershire Round Table Lodge,GL12 7BE,,"1st Monday in September, October, November, December, February, March and April.",,https://www.glosmasons.org.uk/lodges/gloucestershire-round-table-lodge-no-9017/
gloucestershire,craft_lodge,9041,Fitzhamon Lodge,GL20 5NP,,"1st Monday in November, January, February, March, April and the 1st Tuesday in May.",,https://www.glosmasons.org.uk/lodges/fitzhamon-lodge-no-9041/
gloucestershire,craft_lodge,9044,Operative Masons Lodge,GL20 5NP,,"2nd Saturday in March, June, September and November.",,https://www.glosmasons.org.uk/lodges/operative-masons-lodge-no-9044/
gloucestershire,craft_lodge,9095,Lodge of Saint Christopher,BS16 1DT,,"3rd Wednesday in January, February, March, October, the 2nd Saturday in May, the 3rd Saturday in September, and the 1st Saturday in December.",,https://www.glosmasons.org.uk/lodges/lodge-of-saint-christopher-no-9095/
gloucestershire,craft_lodge,9144,Lodge of Progress,GL20 5NP,,2nd Friday in May and the 3rd Saturday in October.,,https://www.glosmasons.org.uk/lodges/lodge-of-progress-no-9144/
gloucestershire,craft_lodge,9385,Impeesa Lodge,GL5 4EP,,"1st Thursday in December, 4th Thursday in February, April, and October.",,https://www.glosmasons.org.uk/lodges/impeesa-lodge-no-9385/
gloucestershire,craft_lodge,9439,Gloucestershire Provincial Grand Stewards’ Lodge,GL12 7BE,,2nd Monday in October and January.,,https://www.glosmasons.org.uk/lodges/gloucestershire-provincial-grand-stewards-lodge-no-9439/
gloucestershire,craft_lodge,9443,Via Lucis Lodge,GL1 2HQ,,"2nd Thursday in February, April, June, and November.",,https://www.glosmasons.org.uk/lodges/via-lucis-lodge-no-9443/
gloucestershire,craft_lodge,9478,Edenwall Lodge,GL16 8BE,,"4th Tuesday of September, October, November, January, February, March, April, and May.",,https://www.glosmasons.org.uk/lodges/edenwall-lodge-no-9478/
gloucestershire,craft_lodge,9500,Ante Meridiem Lodge,GL20 5NP,,"2nd Friday in March, April, May, June, September and the 3rd Friday in October. Meetings start at 11.00am.",,https://www.glosmasons.org.uk/lodges/ante-meridiem-lodge-no-9500/
gloucestershire,craft_lodge,9566,Safeguard Lodge,BS37 6AA,,"3rd Thursday in October, November, December, February, and April.",,https://www.glosmasons.org.uk/lodges/safeguard-lodge-no-9566/
gloucestershire,craft_lodge,9589,Lodge of Seafarers,BS16 5TB,,"4th Saturday in February, April, September, October and November.",,https://www.glosmasons.org.uk/lodges/lodge-of-seafarers-no-9589/
gloucestershire,craft_lodge,9602,Lodge of Fellowship,BS16 5TB,,"4th Monday in February, September, November, and the 4th Tuesday in April.",,https://www.glosmasons.org.uk/lodges/lodge-of-fellowship-no-9602/
gloucestershire,craft_lodge,9631,Gloucestershire Lodge of Agriculture Lodge,GL12 7BE,,"1st Wednesday in October, November, December, February, March and April.",,https://www.glosmasons.org.uk/lodges/gloucestershire-lodge-of-agriculture-lodge-no-9631/
gloucestershire,craft_lodge,9682,Lydda Lodge,BS16 5TB,,"2nd Wednesday in Feb, May and Dec. 2nd Sat in Oct.",,https://www.glosmasons.org.uk/lodges/lydda-lodge-no-9682/
gloucestershire,craft_lodge,9736,Lodge of Light and Reflection,BS11 9JE,,"2nd Wednesday in September, November, March, and May. Meetings start at 11.00am.",,https://www.glosmasons.org.uk/lodges/lodge-of-light-and-reflection-no-9736/
gloucestershire,craft_lodge,9758,Hands of Friendship Lodge,GL20 5NP,,"1st Wednesday in September, October, December, February, April and June.",,https://www.glosmasons.org.uk/lodges/hands-of-friendship-lodge-no-9758/
gloucestershire,craft_lodge,9884,Adrian Davies Lodge of Rugby Union,GL5 4EP,,"2nd Friday in January, 2nd Monday in March, 2nd Tuesday in May and September, and the 4th Thursday in November.",,https://www.glosmasons.org.uk/lodges/adrian-davies-lodge-of-rugby-union-no-9884/
gloucestershire,craft_lodge,9901,Thornbury Lodge,BS35 3LL,,"4th Tuesday in September, October, November, January, February and March.",,https://www.glosmasons.org.uk/lodges/thornbury-lodge-no-9901/
gloucestershire,craft_lodge,9909,Newent Daffodil Lodge,GL18 1TL,,"1st Thursday in March, April, May, September, October, and November.",,https://www.glosmasons.org.uk/lodges/newent-daffodil-lodge-no-9909/
gloucestershire,craft_lodge,9997,Five Valleys Lodge,GL5 4EP,,"First Wednesday in February, April, September (Installation) and December. 11.00am – 3.00pm (times may vary slightly depending on the business of the meeting).",,https://www.glosmasons.org.uk/lodges/five-valleys-lodge-no-9997/
gloucestershire,craft_lodge,10086,Heart of the Forest,GL16 8BE,,"Fourth Thursday in January, April, September & November",,https://www.glosmasons.org.uk/lodges/a-visit-to-the-five-valleys-lodge-and-primus-master-and/
