province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
hampshire_iow,craft_lodge,35,Medina Lodge,,Cowes,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,76,Lodge of Economy,,Winchester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,130,Royal Gloucester Lodge,,Southampton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,132,Lodge of Unity,,Ringwood,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,151,Albany Lodge,,Newport. IoW,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,175,East Medina Lodge,,"Ryde, IoW",,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,195,Lodge of Hengist,,Bournemouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,257,Phoenix Lodge,,Portsmouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,309,Lodge of Harmony,,Fareham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,319,New Forest Lodge,,Lymington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,342,Royal Sussex Lodge,,Waterlooville,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,359,Lodge of Peace and Harmony,,Southampton,3rd Mon Oct – May,,https://hantsiowfreemasons.org/our-areas/south-central-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,394,Southampton Lodge,,Southampton,3rd Thu Sep – Apr,,https://hantsiowfreemasons.org/our-areas/south-central-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,407,The Union of Malta Lodge No.,,Petersfield,"2nd Sat Mar, Apr, May, Oct & Dec",,https://hantsiowfreemasons.org/our-areas/north-east-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,487,Portsmouth Lodge,,Fareham,"4th Fri Feb, Mar, May, Sep & Nov 3rd Fri Jan, Apr, Oct & Dec",,https://hantsiowfreemasons.org/our-areas/solent-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,515,Zetland Lodge No.,,Aldershot,"3rd Sat Feb, Apr, Jun, Sep & Nov",,https://hantsiowfreemasons.org/our-areas/north-east-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,551,Yarborough Lodge,,Ventnor,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,694,Oakley Lodge,,Basingstoke,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,698,Ryde Lodge,,Ryde,1st Fri Oct-May,,https://hantsiowfreemasons.org/our-areas/solent-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,723,Panmure Lodge No.,,Aldershot,2nd Tues Oct-May exc Mar,,https://hantsiowfreemasons.org/our-areas/north-east-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,785,Twelve Brothers Lodge,,Chandler's Ford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,804,Carnarvon Lodge,,Havant,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,903,Gosport Lodge,,Gosport,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,928,The Lodge of Friendship No.,,Petersfield,1st Tues Oct-Apr except Jan,,https://hantsiowfreemasons.org/our-areas/north-east-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,1112,Shirley Lodge,,Southampton,"1st Mon Sep – Jun (Except Jan), May, 1st Thu May, Oct",,https://hantsiowfreemasons.org/our-areas/south-central-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,1331,Aldershot Camp Lodge,,Aldershot,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,1373,Saint Hubert Lodge,,Andover,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,1428,United Service Lodge,,Havant,4th Wed Sep-Jun (except Dec),,https://hantsiowfreemasons.org/our-areas/south-east-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
hampshire_iow,craft_lodge,1461,Clausentum Lodge,,Woolston,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,1705,Prince of Wales Lodge,,Gosport,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight,,
hampshire_iow,craft_lodge,1776,Landport Lodge,,Purbrook,3rd Thurs Sep-May,,https://hantsiowfreemasons.org/our-areas/south-east-area/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Hampshire_&_Isle_of_Wight
