province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
herefordshire,craft_lodge,120,Palladian Lodge,HR1 2EU,,1st Thursday in October to May,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/palladian-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,338,Vitruvian Lodge,HR9 7BZ,,1st Monday in October to May,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/vitruvian-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,751,Eastnor Lodge,WR13 6QG,,3rd Wednesday in October to May,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/eastnor-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,892,Royal Edward Lodge,HR6 8JQ,,2nd Thursday in October to May,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/royal-edward-lodge-3/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,1147,Manchester St. David’s Lodge,,Hope-under-Dinmore,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire,,
herefordshire,craft_lodge,2240,Arrow Lodge,,Kington,2nd Monday in October to May,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/arrow-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,2382,Loyal Hay Lodge,HR3 5DZ,,"3rd Monday in Nov, Jan, Feb, Mar & Apr",,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/loyal-hay-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,3146,Vaga Lodge,HR1 2EU,,last Saturday in Sept to Nov & Jan to Apr,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/vaga-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,3687,Dean Leigh Masters Lodge,HR1 2EU,,3rd Monday in Sept & May & 3rd Tuesday in Feb,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/dean-leigh-masters-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,4083,Cantilupe Lodge,HR1 2EU,,3rd Thursday in October to May,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/cantilupe-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,6383,Conningsby Lodge,HR1 2EU,,1st Tuesday in October to May,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/coningsby-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,7368,St Peters Lodge,HR7 4BT,,"4th Wednesday in Oct, Nov & Jan to May",,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/st-peters-lodge-2/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,7769,Delphis Lodge,HR1 2EU,,2nd Saturday in October to April,,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/delphis-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,8089,Dean Water Field Lodge,HR1 2EU,,"4th Thursday in Sept, Oct, Nov & Jan to April",,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/dean-waterfield-ldg-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
herefordshire,craft_lodge,8868,Ariconium Lodge,HR9 7BZ,,"3rd Tuesday in Sept, Oct, Nov & Jan, Mar & Apr",,https://herefordshiremasons.org.uk/lodges-in-herefordshire/,https://onthesquare.co/lodge/ariconium-lodge/,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Herefordshire
