province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
hertfordshire,craft_lodge,6494,Lodge of Enterprise,,Radlett,Last Tuesday in February (Installation). Last Wednesday in May. Last Wednesday in November. Meeting time 16:30 (4:30pm),,https://pglherts.org/lodges/lodge-of-enterprise/,
hertfordshire,craft_lodge,9621,Wormley St Laurence Lodge,,Cheshunt,3rd Friday in February. 3rd Friday in April. 2nd Friday in September. 2nd Friday in December (Installation). Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/wormley-st-laurence-lodge/,https://onthesquare.co/lodge/wormley-st-laurence-lodge/
hertfordshire,craft_lodge,9116,Winchmore Green Lodge,,Cheshunt,3rd Wednesday in March. 3rd Thursday in May. 1st Wednesday in October (Installation). 3rd Thursday in December,,https://pglherts.org/lodges/winchmore-green-lodge/,https://onthesquare.co/lodge/winchmore-green-lodge/
hertfordshire,craft_lodge,2054,Wilson-Iles Lodge,,Watford,4th Friday in February (Installation). Last Saturday in April. 4th Friday in September. 1st Friday in December. Meeting time 17:30 (5:30pm),,https://pglherts.org/lodges/wilson-iles-lodge/,https://onthesquare.co/lodge/wilson-iles-lodge/
hertfordshire,craft_lodge,8207,West Hertfordshire Lodge,,Watford,1st Tuesday in March. 1st Tuesday in May. 3rd Tuesday in September. 1st Tuesday in November,,https://pglherts.org/lodges/west-hertfordshire-lodge/,https://onthesquare.co/lodge/west-hertfordshire-lodge/
hertfordshire,craft_lodge,3227,Welwyn Lodge,,Cheshunt,4th Saturday in February (Installation). 4th Saturday in April. 4th Saturday in June. 4th Saturday in September. Meeting time 16:30 (4:30pm),,https://pglherts.org/lodges/welwyn-lodge/,https://onthesquare.co/lodge/welwyn-lodge/
hertfordshire,craft_lodge,5748,Welwyn Garden City Lodge,,Hertingfordbury,2nd Friday of February. 2nd Friday of March. 2nd Friday of November (Installation). 2nd Friday of December. Meeting time 17:30 (5:30pm),,https://pglherts.org/lodges/welwyn-garden-city-lodge/,https://onthesquare.co/lodge/welwyn-garden-city-lodge/
hertfordshire,craft_lodge,8920,Waytemore Castle Lodge,,Sawbridgeworth,3rd Friday of January. 1st Friday of March. 3rd Friday of April. 2nd Friday of September (Installation). 3rd Friday of November. Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/waytemore-castle-lodge/,https://onthesquare.co/lodge/waytemore-castle-lodge/
hertfordshire,craft_lodge,1926,Wayfarers Lodge,,Hertford,3rd Wednesday in February (Installation). 3rd Wednesday in April. 3rd Wednesday in June. 3rd Wednesday in November,,https://pglherts.org/lodges/wayfarers-lodge/,https://onthesquare.co/lodge/wayfarers-lodge/
hertfordshire,craft_lodge,404,Watford Lodge,,Watford,1st Friday of February. 1st Friday of March. 1st Friday of May. 1st Friday of June (Installation). 1st Friday of October. 1st Friday of November. Meeting time 17:30 (5:30pm),,https://pglherts.org/lodges/watford-lodge/,https://onthesquare.co/lodge/watford-lodge/
hertfordshire,craft_lodge,3002,Ware Lodge,,Hertingfordbury,2nd Tuesday of January (Installation). 2nd Tuesday of March. 2nd Tuesday of May. 2nd Tuesday of November. Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/ware-lodge/,https://onthesquare.co/lodge/ware-lodge/
hertfordshire,craft_lodge,5359,Waltham Cross Lodge,,Cheshunt,1st Thursday in February. 1st Thursday in April. 1st Thursday in June. 1st Thursday in October (Installation),,https://pglherts.org/lodges/waltham-cross-lodge/,https://onthesquare.co/lodge/waltham-cross-lodge/
hertfordshire,craft_lodge,5192,Walnut Tree Lodge,,Cheshunt,3rd Saturday in March. 1st Saturday in June. 2nd Saturday in September. 2nd Saturday in December. Meeting time 15:30 (3:30pm),,https://pglherts.org/lodges/walnut-tree-lodge/,https://onthesquare.co/lodge/walnut-tree-lodge/
hertfordshire,craft_lodge,6131,Verulam Lodge,,St Albans,3rd Saturday in January. 3rd Saturday in March. 3rd Saturday in April. 3rd Saturday in May. 3rd Saturday in October (Installation). Meeting time 16:00 (4:00pm),,https://pglherts.org/lodges/verulam-lodge/,https://onthesquare.co/lodge/verulam-lodge/
hertfordshire,craft_lodge,9615,Veritatem Sequere Lodge,,St Albans,4th Monday in January. 2nd Wednesday in July. 1st Friday in October (Installation),,https://pglherts.org/lodges/veritatem-sequere-lodge/,https://onthesquare.co/lodge/veritatem-sequere-lodge/
hertfordshire,craft_lodge,7280,Tudor Lodge,,Watford,2nd Wednesday in January (Installation). 3rd Wednesday in February. 1st Wednesday in May. 2nd Wednesday in October. Meeting time 17:30 (5:30pm),,https://pglherts.org/lodges/tudor-lodge/,https://onthesquare.co/lodge/tudor-lodge-7280/
hertfordshire,craft_lodge,5001,Tring Lodge,,Gables,4th Tuesday in January. 4th Tuesday in March. 4th Tuesday in May (Installation). 4th Tuesday in September. 4th Tuesday in November,,https://pglherts.org/lodges/tring-lodge/,https://onthesquare.co/lodge/tring-lodge/
hertfordshire,craft_lodge,9324,Tree of Life Lodge,,St Albans,3rd Wednesday of March. 4th Wednesday of June (Installation). 1st Wednesday of September. 3rd Wednesday of December. Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/tree-of-life-lodge/,https://onthesquare.co/lodge/tree-of-life-lodge/
hertfordshire,craft_lodge,9930,Lodge of True Aim,,Hertingfordbury,3rd Wednesday in March. 4th Tuesday in June. 3rd Thursday in September (Installation),,https://pglherts.org/lodges/lodge-of-true-aim/,https://onthesquare.co/lodge/lodge-of-true-aim/
hertfordshire,craft_lodge,9078,Three Rivers Lodge,,St Albans,2nd Friday in January (Installation). 2nd Friday in March. 2nd Friday in June. 2nd Friday in October,,https://pglherts.org/lodges/three-rivers-lodge/,https://onthesquare.co/lodge/three-rivers-lodge/
hertfordshire,craft_lodge,5962,Temple Bar Lodge,,Cheshunt,2nd Wednesday in February. 2nd Wednesday in June. 2nd Wednesday in October. 2nd Wednesday in December,,https://pglherts.org/lodges/temple-bar-lodge/,https://onthesquare.co/lodge/temple-bar-lodge/
hertfordshire,craft_lodge,8578,Stuart Lodge,,Sawbridgeworth,4th Thursday in January. 4th Thursday in February. 2nd Thursday in April. 2nd Thursday in October (Installation). 4th Thursday in Novemb er,,https://pglherts.org/lodges/stuart-lodge/,https://onthesquare.co/lodge/stuart-lodge-2/
hertfordshire,craft_lodge,409,Stortford Lodge,,Sawbridgeworth,1st Wednesday in February (Installation). 1st Wednesday in April. 1st Wednesday in May. 1st Wednesday in November. Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/stortford-lodge/,https://onthesquare.co/lodge/stortford-lodge/
hertfordshire,craft_lodge,7748,Stevenage Lodge,,The Cloisters,4th Monday of September. 2nd Monday of November. 2nd Friday of December. 3rd Monday of January. 3rd Monday of March (Installation). Meeting time 16:30 (4:30pm),,https://pglherts.org/lodges/stevenage-lodge/,https://onthesquare.co/lodge/stevenage-lodge/
hertfordshire,craft_lodge,9085,Stanstead Abbotts Lodge,,Hertingfordbury,3rd Thursday in February. 3rd Thursday in May. 3rd Thursday in October (Installation). 2nd Thursday in December. 2nd Thursday in Decembe r,,https://pglherts.org/lodges/stanstead-abbotts-lodge/,https://onthesquare.co/lodge/stanstead-abbotts-lodge/
hertfordshire,craft_lodge,9523,Stanboroughs Lodge,,Cheshunt,3rd Thursday in January (Installation). 3rd Thursday in April. 3rd Thursday in June. 3rd Thursday in October,,https://pglherts.org/lodges/stanboroughs-lodge/,https://onthesquare.co/lodge/stanboroughs-lodge/
hertfordshire,craft_lodge,8468,St Stephen’s Lodge,,St Albans,2nd Saturday in January. 2nd Saturday in March. 4th Saturday in June. 4th Saturday in September. 1st Saturday in November,,https://pglherts.org/lodges/st-stephens-lodge/,https://onthesquare.co/lodge/st-stephens-lodge-2/
hertfordshire,craft_lodge,6658,St Nicholas Lodge,,Harpenden,4th Friday in January. 2nd Friday in March. 2nd Friday in June. 4th Friday in September (Installation). 2nd Friday in November,,https://pglherts.org/lodges/st-nicholas-lodge/,https://onthesquare.co/lodge/st-nicholas-lodge/
hertfordshire,craft_lodge,2136,St Michael’s Lodge,,Sawbridgeworth,2nd Wednesday in January. 2nd Wednesday in March. 2nd Wednesday in April. 4th Wednesday in October (Installation). 4th Wednesday in November,,https://pglherts.org/lodges/st-michaels-lodge/,https://onthesquare.co/lodge/st-michaels-lodge/
hertfordshire,craft_lodge,2786,St Albans Lodge,,St Albans,3rd Thursday in February. 3rd Thursday in March. 3rd Thursday in May (Installation). 3rd Thursday in October. 3rd Thursday in November,,https://pglherts.org/lodges/st-albans-lodge/,https://onthesquare.co/lodge/st-albans-lodge/
hertfordshire,craft_lodge,3318,Sprig of Acacia Lodge,,Radlett,4th Saturday in March. 3rd Saturday in May. 3rd Saturday in July. 3rd Saturday in October (Installation),,https://pglherts.org/lodges/sprig-of-acacia-lodge/,https://onthesquare.co/lodge/sprig-of-acacia-lodge/
hertfordshire,craft_lodge,6044,South Hertfordshire Lodge,,Radlett,4th Tuesday in January. 4th Tuesday in March. 4th Tuesday in April. 4th Tuesday in September (Installation). 2nd Tuesday in December,,https://pglherts.org/lodges/south-hertfordshire-lodge/,https://onthesquare.co/lodge/south-hertfordshire-lodge/
hertfordshire,craft_lodge,7182,Sherrards Lodge,,Hertingfordbury,1st Monday of February. 1st Monday of April (Installation). 1st Monday of October. 1st Monday of November. 2nd Monday of December. Meeting time 17:45 (5:45pm),,https://pglherts.org/lodges/sherrards-lodge/,https://onthesquare.co/lodge/sherrards-lodge/
hertfordshire,craft_lodge,7338,Shephall Lodge,,The Cloisters,2nd Wednesday of January. 2nd Wednesday of March (Installation). 2nd Wednesday of May. 3rd Tuesday of September. 2nd Wednesday of November. Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/shephall-lodge/,https://onthesquare.co/lodge/shephall-lodge/
hertfordshire,craft_lodge,5110,Sawbridgeworth Lodge,,Sawbridgeworth,1st Tuesday in February. 1st Tuesday in April. 1st Tuesday in October (Installation). 1st Tuesday in December. Meeting time 18:00 (6:00pm),,https://pglherts.org/lodges/sawbridgeworth-lodge/,https://onthesquare.co/lodge/sawbridgeworth-lodge/
hertfordshire,craft_lodge,1668,Samson Lodge,,Radlett,3rd Tuesday of March (Installation). Meeting time 16:30 (4:30pm),,https://pglherts.org/lodges/samson-lodge/,https://onthesquare.co/lodge/samson-lodge/
hertfordshire,craft_lodge,767,Salisbury Union Lodge,,Halsey Hall (Watford) and The Cloisters,2nd Saturday of February. 3rd Saturday of March. 2nd Saturday of August. 4th Saturday of September. 4th Saturday of October (Installation). 4th Saturday of November. Meeting time 10:00 (10:00am),,https://pglherts.org/lodges/salisbury-union-lodge/,https://onthesquare.co/lodge/salisbury-union-lodge/
hertfordshire,craft_lodge,4304,Royston Lodge,,Royston,2nd Saturday in February. 2nd Saturday in March. 2nd Saturday in April. 2nd Saturday in October (Installation). 2nd Saturday in November,,https://pglherts.org/lodges/royston-lodge/,https://onthesquare.co/lodge/royston-lodge/
hertfordshire,craft_lodge,9221,Round Table Lodge of Hertfordshire,,St Albans,3rd Wednesday in January. 4th Thursday in March. 2nd Thursday in September (Installation). 2nd Wednesday in November,,https://pglherts.org/lodges/round-table-lodge-of-hertfordshire/,https://onthesquare.co/lodge/round-table-lodge-of-hertfordshire/
hertfordshire,craft_lodge,8793,Rosewood Lodge,,Radlett,4th Friday in February (Installation). 3rd Friday in May. 4th Friday in September. 4th Friday in November. Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/rosewood-lodge/,https://onthesquare.co/lodge/rosewood-lodge/
hertfordshire,craft_lodge,7080,Romeland Lodge,,St Albans,2nd Tuesday of May (Installation). 2nd Tuesday of October. 2nd Tuesday of January. 2nd Tuesday of March. Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/romeland-lodge/,https://onthesquare.co/lodge/romeland-lodge/
hertfordshire,craft_lodge,8758,Romanum Lodge,,St Albans,4th Tuesday of February. 1st Tuesday of June. 3rd Tuesday of September (Installation). 1st Tuesday of December. Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/romanum-lodge/,https://onthesquare.co/lodge/romanum-lodge/
hertfordshire,craft_lodge,2218,Rickmansworth Lodge,,Watford,2nd Thursday of October. 2nd Thursday of November (Installation). 2nd Thursday of January. 2nd Thursday of February. 2nd Thursday of March. 2nd Thursday of June. Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/rickmansworth-lodge/,https://onthesquare.co/lodge/rickmansworth-lodge/
hertfordshire,craft_lodge,8484,Redbourn Lodge,,St Albans,3rd Thursday in January. 1st Thursday in March. 4th Thursday in May (Installation). 3rd Thursday in September. 1st Thursday in December,,https://pglherts.org/lodges/redbourn-lodge/,https://onthesquare.co/lodge/redbourn-lodge/
hertfordshire,craft_lodge,6652,Radlett Lodge,,Radlett,2nd Saturday in February. 1st Saturday in April. 2nd Saturday in July. 1st Saturday in September. 2nd Saturday in December (Installation). Meeting time 16:00 (4:00pm),,https://pglherts.org/lodges/radlett-lodge/,https://onthesquare.co/lodge/radlett-lodge/
hertfordshire,craft_lodge,9262,Queen’s Oak Lodge,,Hertingfordbury,3rd Tuesday in February. 3rd Tuesday in May. 3rd Tuesday in October. 2nd Tuesday in December,,https://pglherts.org/lodges/queens-oak-lodge/,https://onthesquare.co/lodge/queens-oak-lodge/
hertfordshire,craft_lodge,8126,Probatus Lodge,,Cheshunt,2nd Saturday of April. 2nd Saturday of September (Installation). 4th Saturday of October. 3rd Saturday of December. Meeting time 11:00 (11:00am),,https://pglherts.org/lodges/probatus-lodge/,https://onthesquare.co/lodge/probatus-lodge/
hertfordshire,craft_lodge,5152,Priory Lodge,,St Albans,4th Saturday in January (Installation). 4th Saturday in March. 2nd Saturday in September. 3rd Saturday in November. Meeting time 16:00 (4:00pm),,https://pglherts.org/lodges/priory-lodge/,https://onthesquare.co/lodge/priory-lodge-2/
hertfordshire,craft_lodge,9864,Prince Hamlet Lodge,,The Cloisters,Last Friday of March (Installation). 3rd Saturday of May. Saturday preceding the 1st Monday of November. Saturday following the 4th Saturday of January. Meeting time 15:00 (3:00pm),,https://pglherts.org/lodges/prince-hamlet-lodge/,https://onthesquare.co/lodge/prince-hamlet-lodge/
hertfordshire,craft_lodge,8919,Prae Wood Lodge,,St Albans,1st Monday in February. 3rd Monday in May. 1st Monday in October (Installation). 2nd Monday in December,,https://pglherts.org/lodges/prae-wood-lodge/,https://onthesquare.co/lodge/prae-wood-lodge/
hertfordshire,craft_lodge,8704,Potters Bar Lodge,,Radlett,4th Thursday in March. 2nd Thursday in May. 4th Thursday in October (Installation). 1st Thursday in December,,https://pglherts.org/lodges/potters-bar-lodge/,https://onthesquare.co/lodge/potters-bar-lodge/
hertfordshire,craft_lodge,8556,Park Street Lodge,,St Albans,1st Friday of March. 1st Friday of June (Installation). 3rd Friday of September. 4th Friday of October. 2nd Friday of December. Meeting time 17:30 (5:30pm),,https://pglherts.org/lodges/park-street-lodge/,https://onthesquare.co/lodge/park-street-lodge/
hertfordshire,craft_lodge,7988,Old Verulamians Lodge,,St Albans,3rd Saturday in February. 4th Saturday in April. 3rd Saturday in June. 1st Saturday in October. 2nd Saturday in November (Installation). Meeting time 17:00 (5:00pm),,https://pglherts.org/lodges/old-verulamians-lodge/,https://onthesquare.co/lodge/old-verulamians-lodge/
hertfordshire,craft_lodge,5721,Old Stortfordian Lodge,,Sawbridgeworth,3rd Saturday in March (Installation). 2nd Saturday in June. 2nd Saturday in October. 2nd Saturday in December. Meeting time 16:30 (4:30pm),,https://pglherts.org/lodges/old-stortfordian-lodge/,https://onthesquare.co/lodge/old-stortfordian-lodge/
hertfordshire,craft_lodge,8339,Old Manor Lodge,,St Albans,3rd Tuesday in March. 3rd Tuesday in April. 1st Tuesday in October (Installation). 3rd Tuesday in November. 3rd Tuesday in December,,https://pglherts.org/lodges/old-manor-lodge/,https://onthesquare.co/lodge/old-manor-lodge/
hertfordshire,craft_lodge,8083,Old Hertfordian Lodge,,Hertingfordbury,4th Tuesday of March (Installation). 3rd Tuesday of September. 3rd Tuesday of November. 3rd Tuesday of January. Meeting time 17:30 (5:30pm),,https://pglherts.org/lodges/old-hertfordian-lodge/,https://onthesquare.co/lodge/old-hertfordian-lodge/
hertfordshire,craft_lodge,4698,Old Fullerian Lodge,,Watford,2nd Friday in February. 2nd Friday in April. 2nd Friday in October. 2nd Friday in November,,https://pglherts.org/lodges/old-fullerian-lodge/,https://onthesquare.co/lodge/old-fullerian-lodge/
hertfordshire,craft_lodge,4903,Old Berkhamstedian Lodge,,Berkhamsted School,4th Saturday in February (Installation). 1st Saturday in May. 3rd Saturday in September. 4th Saturday in November,,https://pglherts.org/lodges/old-berkhamstedian-lodge/,https://onthesquare.co/lodge/old-berkhamstedian-lodge/
hertfordshire,craft_lodge,4999,Old Albanian Lodge,,St Albans,3rd Saturday in February. 4th Saturday in April. 3rd Saturday in June. 1st Saturday in October. 2nd Saturday in November,,https://pglherts.org/lodges/old-albanian-lodge/,https://onthesquare.co/lodge/old-albanian-lodge/
hertfordshire,craft_lodge,7419,New Elizabethan Lodge,,Cheshunt,3rd Thursday in February. 3rd Thursday in May. 3rd Thursday in July. 3rd Thursday in November (Installation),,https://pglherts.org/lodges/new-elizabethan-lodge/,https://onthesquare.co/lodge/new-elizabethan-lodge/
