province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
jersey,craft_lodge,244,Yarborough Lodge,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,245,Duke of Normandy Lodge,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,491,Royal Sussex Lodge,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,590,Lodge La Cesaree,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,877,Royal Alfred Lodge,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,958,St. Aubin's Lodge,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,1003,Prince of Wales Lodge,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,3459,de Carteret Lodge,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,4449,Lodge St. Helier,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,8352,Jersey Lodge of Unity,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
jersey,craft_lodge,8383,Jersey Lodge of Installed Masters,,St Helier,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Jersey,,
