province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
cheshire,knights_templar,14,Royal Edward Preceptory,,Dukinfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,15,Preceptory of St. Salem,,Congleton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,91,Geoffroy de Bouillon Preceptory,,Birkenhead,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,100,de Tabley Preceptory,,Knutsford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,132,Grosvenor Preceptory,,Chester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,184,Preceptory of St. Hilary,,Birkenhead,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,217,Palestine Preceptory,,Wallasey,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,231,Menai Preceptory,,Menai Bridge,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,234,de lIsle Adam Preceptory,,Chester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,272,Love and Friendship Preceptory,,Neston,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,308,Dukinfield Preceptory,,Dukinfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,318,St. George Preceptory,,Stockport,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,326,Preceptory of Faith and Hope,,Sale,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,327,Temple Preceptory,,Sandbach,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,454,Preceptory of St. David,,Connah's Quay,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,558,Northwich Preceptory,,Northwich,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,578,The Cheshire Bodyguard Preceptory,,Knutsford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,584,Preceptory of Charity,,Altrincham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,603,Croes Newydd Preceptory,,Wrexham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
cheshire,knights_templar,605,St. Werburgh Preceptory,,Christleton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Cheshire
