province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
durham,knights_templar,118,Mount Grace Preceptory,,Hartlepool,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,139,St. Cutherbert's Preceptory,,Darlington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,222,Finchale Preceptory,,Sunderland,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,233,Haliwerfoic Preceptory,,Durham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,275,St. Lawrence Preceptory,,South Shields,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,292,Wycliffe Preceptory,,Darlington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,316,Tees Preceptory,,Stockton-on-Tees,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,339,De Umfraville Preceptory,,Gateshead,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,479,Strathmore Preceptory,,Burnopfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,550,The Marmaduke Lumley Preceptory,,Chester-le-Street,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,559,Bishop Antony Bek Preceptory,,Bishop Auckland,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,567,Durham Preceptory of Installed Preceptors,,Durham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,589,Prince Bishops Preceptory,,Durham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
durham,knights_templar,622,Palatine Guards Preceptory,,Durham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Durham
