province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
essex,knights_templar,256,Maplestead Preceptory,,Colchester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,261,de Mandeville Preceptory,,Upminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,271,St. Chad’s Preceptory,,Chingford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,274,Chelmersforde Preceptory,,Chelmsford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,295,St. Katharine’s Preceptory,,Southend on Sea,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,309,Pymmes Park Preceptory,,Loughton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,310,Hubert-de-Burgh Preceptory,,Southend on Sea,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,382,Felix E. Crate Preceptory,,Upminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,434,"Arthur Dentith, Preceptory",,Saffron Walden,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,441,Essex Preceptory,,Upminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,442,Sir Peter de Tany Preceptory,,Harlow,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,467,Hugo de Payens Preceptory,,Rochford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,489,Essex Jubilee Preceptory,,Upminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,496,St. Osyth Preceptory,,Clacton-on-Sea,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,507,Waltham Holy Cross Preceptory,,Chingford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,562,Essex Body Guard Preceptory,,Margaretting,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,563,Langton Hills Preceptory,,Orsett,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,583,Ambresbury Preceptory,,Loughton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,623,Cressing Temple Preceptory,,Braintree,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,631,Plantagenet Preceptory,,Hutton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,641,Sir William St Clair Preceptory,,Orsett,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
essex,knights_templar,645,Mistley Towers Preceptory,,Manningtree,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
