province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
london_metropolitan,knights_templar,26,Faith and Fidelity Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,45,United Kemeys Tynte and Temple Creasing Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,73,Commandel Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,117,The New Temple Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,127,Bard of Avon Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,128,"Oxford, Cambridge and United Preceptory",,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,131,Holy Sanctuary Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,140,Studholme Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,154,Shadwell Clerke Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,163,Ascalon Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,165,Preceptory of St. Michael,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,172,Connaught Army and Navy Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,173,King Edward VII Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,178,Empress Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,183,Sancta Maria Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,185,Preceptory of Galilee,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,188,Preceptory of Baluchistan,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,206,Annus Mirabilis Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,209,Public Schools Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,219,Golden Square Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,251,Sydenham Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,282,Britannic Preceptory of Madeira,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,300,The Military Lodges’ Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,321,Royal Colonial Institute Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,453,St. Thomas a Becket Preceptory,,Ilford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
london_metropolitan,knights_templar,512,Guild of Freemen Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,564,Frederick C. Hughes Preceptory,,Camden,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Essex
london_metropolitan,knights_templar,576,St. John at Ealing Preceptory,,Ealing,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,614,The London Bodyguard Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,632,L.ondiniam Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
london_metropolitan,knights_templar,695,Secretum Templi Londinium Preceptory,,Westminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_London
