province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
northumberland,knights_templar,20,Royal Kent Preceptory,,Newcastle upon Tyne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,226,Lindisfarne Preceptory,,Berwick upon Tweed,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,232,Chibburn Preceptory,,Whitley Bay,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,239,Brandling Preceptory,,Gosforth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,284,Brinkbum Preceptory,,Morpeth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,461,St. Wilfrid of Hexham Preceptory,,Hexham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,469,St. Aidan Preceptory,,Amble,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,481,St. Oswald Preceptory,,Newcastle upon Tyne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,522,The Prior’s Haven Preceptory,,North Shields,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,525,St. George of Throckley Preceptory,,Throckley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,537,Wudcestre Preceptory,,Ashington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,580,St. Ronan Preceptory,,Blyth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,586,Templar Segedunam Preceptory,,Wallsend on Tyne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,590,Nortlhanhymbre Preceptory,,Shiremoor,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,600,Northumbria Guards Preceptory,,Whitley Bay,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
northumberland,knights_templar,633,Preceptory of Tutelage,,Morpeth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Northumberland
