province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
somerset,knights_templar,1,Antiquity Encampment,BA1 1JU,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,40,Bladud Preceptory,,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,121,Worlebury Preceptory of St.Dunstan,TA1 4EB,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,211,King Ina Preceptory,,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,244,Selwood Preceptory of St.John,,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,354,Estune Command Preceptory,,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,455,Keynsham Preceptory of St. Keyna,TA18 7JU,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,476,Cumba Preceptory,,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,551,King Arthur of Avalon Preceptory,TA6 3DH,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,638,Exmoor Preceptory,,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,672,Our Lady of Walsingham Preceptory,BS49 4DW,,,,http://somersetkt.org.uk/preceptories
somerset,knights_templar,686,Templecombe Preceptory,,,,,http://somersetkt.org.uk/preceptories
