province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
south_wales,knights_templar,200,Morganwg Preceptory,,Penarth,"4th Friday in October, 4th Wednesday in June (Inst.)",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,502,Holy Palestine Preceptory,,Swansea,"1st Monday in September (Inst.), 3rd Monday in February",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,547,Owain Glyndwr Preceptory of Installed Preceptors,,Neath,"1st Saturday in December, 1st Saturday in June (Inst.)",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,556,Sant Madoc Preceptory,,Porthcawl,"1st Tuesday of October, 1st Tuesday of February (Inst.), 1st Tuesday of June",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,577,Castell Nedd Preceptory,,Neath,"4th Monday in January (Inst.), 2nd Monday in July",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,579,Cefn Ydfa Preceptory,,Bridgend,"1st Friday in October, 2nd Thursday in March, 2nd Friday in June (Inst.)",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,582,Fforest Preceptory,,Treharris,"4th Monday in October, 3rd Monday in February, 1st Friday in June (Inst.)",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,602,Temple Slebech Preceptory of Provincial Body Guards,,Bridgend,"3rd Friday in January (Inst.), 3rd Friday in June (Full Malta)",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,673,The Lord Swansea Preceptory,,Swansea,"4th Tuesday in September, 4th Monday in April (Inst.)",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,704,Brecknock Castle Preceptory,,Brecon,"2nd Wednesday in November (Inst.), 4th Tuesday in March, 3rd Wednesday in June",,http://www.kt-msw.org/preceptories
south_wales,knights_templar,712,St. John of Cardiff Preceptory,,Cardiff,"4th Wednesday in September, 2nd Monday in December, 2nd Wednesday in March (Inst.)",,http://www.kt-msw.org/preceptories
