province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
staffordshire,knights_templar,42,Geoffroi de Bouillon Preceptory,,Stoke-on-Trent,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,79,Wulfrurna Preceptory,,Wolverhampton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,170,Bernard de Tremelay Preceptory,,Aldridge,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,369,Sir John Kent Preceptory,,Stafford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,398,Preceptory of Saint Clement,,West Bromwich,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,407,Roger de Clinton Preceptory,,Wolverhampton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,411,Robert de Stafford Preceptory,,Stoke-on-Trent,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,457,Sir Robert Mavesyn Preceptory,,Rugeley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,524,Ranulph de Blundeville Preceptory,,Leek,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,530,William de Ferrars Preceptory,,Burton-on-Trent,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,545,The Staffordshire and Shropshire Preceptory,,Wolverhampton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,546,John O’Gaunt Preceptory,,Stoke-on-Trent,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
staffordshire,knights_templar,682,Mercia Praetorian Preceptory,,Penkridge,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Staffordshire_&_Shropshire
