province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
surrey,knights_templar,162,Temple Court Preceptory,,Guildford,"1st Tue Feb(i), 2nd Tue May and 1st Tue Nov",,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,196,Preceptory of Croydon,,Croydon,2nd Mon Mar and Jun(i) and 4th Mon Nov,,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,225,Kyngstun Preceptory,,Surbiton,"3rd Tue Mar(i), Sep and Dec",,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,304,Chertsey Preceptory,,Chertsey,"2nd Tue Feb, 4th Tue Apr and 3rd Tue Oct(i)",,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,338,St Saviours Preceptory,,Sutton,"4th Fri Mar, 1st Fri May and Dec(i)",,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,360,Gascoigne Preceptory,,Croydon,"1st Mon Feb(i), Apr and Oct",,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,364,Preceptory of St George at Stoneleigh,,Stoneleigh No. 364 at Surbiton,morning of 3rd Sat Jan and Sep(i),,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,378,Preceptory of St John at Stoneleigh,,Stoneleigh No. 378 at Surbiton,morning of 3rd Sat Mar(i) and 4th Sat Oct,,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,425,Sacryham Preceptory,,Croydon,"4th Thu Jan(i), 3rd Mon Apr and Nov",,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,446,Emmaus Preceptory,,Surbiton,4th Mon Apr(i) and 3rd Fri Sep,,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,447,Whyte Stone Preceptory,,Farnham,4th Tue Feb and May and 3rd Mon Oct(i),,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,478,Stephen Langton Preceptory,,Redhill,4th Wed Feb and Apr and 3rd Wed Dec(i),,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,517,Agincourt Preceptory,,Camberley,3rd Tue Feb and Apr and 4th Tue Nov(i),,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,570,Praesidium Legati Preceptory,,Surbiton,"4th Thu Feb, 3rd Fri Jun and Nov(i)",,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,598,Nutfield Preceptory,,Nutfield (Redhill),"morning of 2nd Sat Mar, 4th Sat Jun and Oct(i)",,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,607,St Catherine’s Preceptory,,Godalming,"4th Wed Jan, Apr(i) and Oct",,https://www.surreycompanionorders.com/preceptories-knights-templar
surrey,knights_templar,693,St Michael at Bisley,,Bisley No. 693 at Bisley Camp,"1st Fri Apr, 1st Fri Jun and 3rd Fri Oct(i)",,https://www.surreycompanionorders.com/preceptories-knights-templar
