province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
sussex,knights_templar,125,Sussex Preceptory,,Eastbourne,"1st Thursday in April, 1st Thursday in October and 1st Thursday in December (Inst)",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,126,De Warenne Preceptory,,Brighton,"1st Saturday in February (Inst), 1st Saturday in April and 1st Saturday in November",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,137,The Duke of Connaught & Strathearn's Himalaya Preceptory,,Littlehampton,"1st Monday in April, 1st Monday in October (Inst) and 3rd Monday in June",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,174,Holy Sepulchre Preceptory,,St Leonards,"3rd Monday in February (Inst), 3rd Monday in May and 3rd Monday in November",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,201,The Preceptory of St Richard,,Chichester,"3rd Tuesday in February, 3rd Tuesday in June (Inst) and 3rd Tuesday in October",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,208,Thornton Preceptory,,Brighton,"Friday before 1st Saturday in February, Friday before 1st Saturday in April (Inst) and Friday before 1st Saturday in November",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,400,Crux Christi Preceptory,,Horsham,"1st Thursday in March, 1st Thursday in June and 1st Thursday in November (Inst)",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,470,Holy Cross Preceptory,,Uckfield,"2nd Friday in March, 3rd Friday in June (Inst) and 1st Friday in October",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,477,Bright Morning Star Preceptory,,Peacehaven,2nd Saturday in February and 1st Wednesday in June (Inst),,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,488,William of Normandy Preceptory,,Battle,"3rd Tuesday in March, 3rd Tuesday in July and 4th Tuesday in November (Inst)",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,571,The Jerusalem Cross Preceptory,,Peacehaven,"1st Thursday in May, 1st Thursday in July and 1st Thursday in September (Inst)",,http://www.kt-sussex.org.uk/preceptories.html
sussex,knights_templar,619,The John Forrest Preceptory,,Peacehaven,3rd Saturday in June (Inst),,http://www.kt-sussex.org.uk/preceptories.html
