province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
warwickshire,knights_templar,67,Howe Beauceant Preceptory,,Solihull,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,229,Peter de Erdington Preceptory,,Sutton Coldfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,293,Preceptory of the Holy Rood,,Warwick,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,331,Holy Trinity Preceptory,,Coventry,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,340,Temple Balsall Preceptory,,Temple Balsall,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,361,Ascalon Preceptory,,Rugby,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,448,Edgbaston Preceptory,,Erdington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,458,Warwickshire Preceptory,,Warwick,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,529,St. Alphege Preceptory,,Solihull,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,541,The Abbey Preceptory,,Nuneaton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,565,Praetorian Preceptory,,Warwick,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,566,Guy of Warwick Preceptory,,Warwick,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,647,Leamington Priors Preceptory,,Leamington Spa,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,662,Omnis Sanctus Preceptory,,Erdington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
warwickshire,knights_templar,689,Preceptory of Light,,Solihull,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Warwickshire
