province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
worcestershire,knights_templar,52,Richard de Vernon Preceptory,,Stourbridge,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,68,Preceptory of St. Amand,,Worcester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,212,Richard Coeur de Lion Preceptory,,Kings Heath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,278,Temple Preceptory,,Kings Heath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,332,Preceptory of the Holy Cross,,Kings Heath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,367,St. Marys & All Saints Preceptory,,Kidderminster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,396,Preceptory of St. John the Baptist,,Stourport,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,408,Hales Abbey Preceptory,,Halesowen,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,414,Simon de Montfort Preceptory,,Evesham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,421,Bernard de Frankley Preceptory,,Northfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,482,Trinity Preceptory,,Kings Heath,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,519,Preceptory of King John,,Worcester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,531,Preceptory of St. Stephen,,Redditch,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,549,Worcestershire Preceptory,,Worcester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,585,Varangian Preceptory,,Worcester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
worcestershire,knights_templar,612,Preceptory of St. Michael & All Angels,,Tenbury Wells,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_Worcestershire
