province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
yorkshire_wr,knights_templar,3,Plains of Rama Preceptory,BD21 3NN,,"last Tuesday in January, March (Inst.), June and September.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,4,Hope Preceptory,HD1 4EN,,"third Friday in February (Inst.-6.00 p.m.-dine after), March, October and November.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,13,Faith Preceptory,BD17 6JS,,"fourth Thursday in April (Inst.), June, September and November.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,21,Salamanca Preceptory,,Halifax,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_West_Yorkshire
yorkshire_wr,knights_templar,39,Fearnley Preceptory,,Dewsbury,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_West_Yorkshire
yorkshire_wr,knights_templar,66,de Funrival Preceptory,,Sheffield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_West_Yorkshire
yorkshire_wr,knights_templar,89,Plains of Mamre Preceptory,BD22 8NA,,"first Saturday in March (Inst.) and October, and the third Saturday in May.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,114,Fidelity Preceptory,LS6 4BP,,"third Friday in January, April (Inst.) and October.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,158,Amphibious Preceptory,WF16 0JU,,"second Thursday in February, April, October (Inst.) and December.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,199,King George V Preceptory,,Leeds,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_West_Yorkshire
yorkshire_wr,knights_templar,205,Integrity Preceptory,,Morley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_West_Yorkshire
yorkshire_wr,knights_templar,213,de Ros Preceptory,,Harrogate,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_West_Yorkshire
yorkshire_wr,knights_templar,214,Chantry Preceptory,,Wakefield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_West_Yorkshire
yorkshire_wr,knights_templar,216,Wharfedale Preceptory,,Otley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_West_Yorkshire
yorkshire_wr,knights_templar,230,Airedale Preceptory,BD16 4LG,,"fourth Friday in January, March, September (Inst.) and November.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,235,Temple Preceptory,S75 1AT,,"Tuesday following the first Monday in April (Inst.), June, October and December.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,259,Trafalgar Preceptory,,,"second Monday in February, July, September (Inst. 6.00p.m.) and November.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,265,Grey Friars Preceptory,DN1 1BZ,,"second Monday in February, April (Inst.), October and the second Tuesday in June.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,298,St. Laurence Preceptory,LS28 7RF,,"fourth Monday in February, April (Inst.), June and October.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,324,Preceptory of St. Paul,,Bradford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Priory_of_West_Yorkshire
yorkshire_wr,knights_templar,390,Craven Preceptory,BD23 2PB,,"second Wednesday in February, May (Inst.), September and November.",,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,587,Cohors Praetoria Preceptory,LS27 0QG,,third Monday in May (Inst.) and on the Monday following the Annual Provincial Meeting.,,http://www.westyorkskt.co.uk/preceptories/
yorkshire_wr,knights_templar,710,Gilbert de Lacy Preceptory,WF8 3PA,,"5th Wednesday of each month, except December. Installation takes place at the first meeting after 1st September each year.",,http://www.westyorkskt.co.uk/preceptories/
