province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
leicestershire_rutland,craft_lodge,50,Knights of Malta Lodge,,Hinckley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,279,St. John's Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,523,John of Gaunt Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,779,Ferrers and Ivanhoe Lodge,,Ashby-de-la-Zouch,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,1007,Howe and Charnwood Lodge,,Loughborough,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,1130,Rutland Lodge,,Melton Mowbray,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,1265,Vale of Catmos Lodge,,Oakham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,1330,St. Peter’s Lodge,,Market Harborough,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,1391,Commercial Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,1560,Albert Edward Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,2028,Granite Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,2081,Lodge of the Golden Fleece,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,2428,Grace Dieu Lodge,,Coalville,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,2429,Lodge of Research,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,2865,East Goscote Lodge,,Syston,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,3078,Wiclif Lodge,,Lutterworth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,3091,Lodge Semper Eadem,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,3431,St. Martin's Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,3448,Wyggeston Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,3919,Halford Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,4088,Temperantia Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,4656,Holmes Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,4711,Knighton Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,4835,Highcross Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,4874,Lodge of the Flaming Torch,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,5061,Enderby Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,5208,Beacon Lodge,,Loughborough,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,5660,Tudor Rose Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,5664,Lodge of Welcome,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,6167,Wyvern Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,6406,Granstone Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,6513,Gateway Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,6514,Lodge of Gratitude,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,6596,Bradgate Lodge,,Syston,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,6757,Edward Sherrier Lodge,,Lutterworth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,6794,Newarke Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,6803,Grey Friars Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,7007,Thomas Burton Lodge,,Loughborough,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,7164,St. Mary's Lodge,,Melton Mowbray,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,7168,Lodge of Friendship,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,7716,Jason Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
leicestershire_rutland,craft_lodge,7717,Guthlaxton Lodge,,Leicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Leicestershire_&_Rutland,,
