province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
lincolnshire,craft_lodge,1600,Hamilton Lodge,LN13 9DP,,Second Monday October to May Inclusive.,March,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,1447,St Matthew Lodge,DN18 5DH,,"Third Tuesday September to May inclusive, November (I).",,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,9822,Lodge of Established Order,DN18 5DH,,"First Tuesday March, June, September, November (I)",,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,royal_arch,1447,St. Matthew Royal Arch Chapter,DN18 5DH,,"Second Tuesday, November (I), January, March, and May.",,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,272,Lodge of Harmony,PE21 6QQ,,"Second Tuesday, October to May inclusive.",January,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,838,Franklin Lodge,PE21 6QQ,,First Thursday October to May inclusive.,October,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,4690,Lindis Lodge,PE21 6QQ,,"Third Thursday, October to May inclusive.",February,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,8795,Pilgrim Fathers Lodge,PE21 6QQ,,"Fourth Thursday, September to April inclusive except December.",September,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,royal_arch,272,St. Botolph’s Royal Arch Chapter,PE21 6QQ,,"Third Monday,",October,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,royal_arch,8795,Pilgrim Fathers Royal Arch Chapter,PE21 6QQ,,"Second Thursday, October, December, February, and",May,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,1232,Hereward Lodge,PE10 9LQ,,"Third Friday, September to May inclusive.",October,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,9060,The Lodge of Aveland,PE10 9LQ,,"Second Wednesday, October to April inclusive, first Wednesday in May.",November,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,royal_arch,1232,Hereward Royal Arch Chapter,PE10 9LQ,,"First Wednesday November (I), February, April, and June.",,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,1282,Ancholme Lodge,DN20 8ES,,"Third Monday, October to May inclusive.",April,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,9769,Glanford Vale Lodge,DN20 8ES,,"Second Thursday, October to May inclusive.",October,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,royal_arch,1282,Ancholme Royal Arch Chapter,DN20 8ES,,"First Tuesday, October, December, February (I), and April.",,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,3017,Lord Worsley Lodge,DN35 0AJ,,"First Tuesday, October to May inclusive.",February,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,5471,Apollo Lodge,DN35 0AJ,,"Third Tuesday, September to April inclusive.",October,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,7264,Vigilantes Lodge,DN35 0AJ,,"Fourth Tuesday, September to April inclusive, except December and third Wed in May.",April,https://www.lincolnshirefreemasons.org/masonic-centres/
lincolnshire,craft_lodge,7648,St Peter Lodge,DN35 0AJ,,"Fourth Friday, September, November to April inclusive except December and third Friday in October and May.",May,https://www.lincolnshirefreemasons.org/masonic-centres/
