province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
berkshire,mark_lodge,27,Porchester,,Newbury,"second Wednesday in February, March, October and November. first Wednesday in February and November and the second Wednesday in April",March,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,235,Leopold,RG41 5EA,,"last Monday in January, March and September. last Monday in February, the third Monday in April and the second Monday in October",September,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,257,Jersey,,Wokingham,"first Thursday in March, second Thursday in April, first Friday in October and third Thursday in December. first Wednesday in June and the first Friday in November",October,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,519,Windsor Castle,,Windsor,"third Wednesday in November, January and March. third Wednesday in May and October",November,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,623,Valentia,,Wokingham,"fourth Wednesday in February, April, October and November",October,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1094,Pangbourne,,Pangbourne,"fourth Monday in March , second Monday in May and the fourth Monday in July and October",March,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1162,Wallingford,,Oxon,"second Wednesday in April, September, December and the last Wednesday in June. last Friday in March and the first Friday in September",June,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1207,Wantage,,Oxon,"second Monday in January, May and September",May,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1330,Berks & Oxon Installed Mark Masters,,Oxon,first Friday in May and the fourth Friday in October. first Tuesday in June and the first Wednesday in December,May,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1342,Hungerford,,Newbury,"second Tuesday in April, July and September",April,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1398,The Old Rectory Lodge,,Reading,"first Thursday in February , May and November. last Thursday in May and the fourth Thursday in August",February,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1430,Conrad Costin,RG41 5EA,,fourth Tuesday in February and April and first Tuesday in November,February,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1555,Friendship & Care,RG41 5EA,,"third Tuesday in January, March and November. third Friday in February and October",November,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1568,Linden Acre,,Wokingham,second Tuesday in April and October. fourth Tuesday in January and May,October,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1616,Cranley,,Windsor,third Monday of October and the second Monday of April,April,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1627,Erlegh,RG41 1EG,,"fourth Saturday in March, the second Saturday in September and the third Saturday in November",March,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1631,Caduceus,,Oxon,"first Monday in March, July and September",March,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1657,Charles Wilkinson,RG41 5EA,,"on the, first Thursday in October and the fourth Thursday in April",October,https://berksmark.org.uk/all-lodges/
berkshire,mark_lodge,1868,Wilder,RG41 5EA,,fourth Tuesday in April and October,October,https://berksmark.org.uk/all-lodges/
berkshire,royal_ark_mariner,27,Porchester,,Newbury,first Wednesday in February and November and the second Wednesday in April,April,https://berksmark.org.uk/lodges/ram/
berkshire,royal_ark_mariner,235,Leopold,,Wokingham,"last Monday in February, the third Monday in April and the second Monday in October",February,https://berksmark.org.uk/lodges/ram/
berkshire,royal_ark_mariner,257,Jersey,,Wokingham,first Wednesday in June and the first Friday in November,June,https://berksmark.org.uk/lodges/ram/
berkshire,royal_ark_mariner,519,Windsor Castle Lodge,,Windsor,third Wednesday in May and October,October,https://berksmark.org.uk/lodges/ram/
berkshire,royal_ark_mariner,1162,Wallingford,,Oxon,last Friday in March and the first Friday in September,March,https://berksmark.org.uk/lodges/ram/
berkshire,royal_ark_mariner,1330,Berks & Oxon Installed Commanders,,Oxon,first Tuesday in June and the first Wednesday in December,December,https://berksmark.org.uk/lodges/ram/
berkshire,royal_ark_mariner,1398,Old Rectory,,Wokingham,last Thursday in May and the fourth Thursday in August,August,https://berksmark.org.uk/lodges/ram/
berkshire,royal_ark_mariner,1555,Friendship & Care,RG41 5EA,,third Friday in February and October,February,https://berksmark.org.uk/lodges/ram/
berkshire,royal_ark_mariner,1568,Linden Acre,,Wokingham,fourth Tuesday in January and May,May,https://berksmark.org.uk/lodges/ram/
