province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
cornwall,mark_lodge,73,Meridian Lodge,,Redruth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,78,Fortitude Lodge,,Perranporth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,87,Cornubian Lodge,,Hayle,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,94,Love and Honour Lodge,,Falmouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,101,Boscawen Lodge,,St Day,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,175,St. Michael’s Lodge,,Helston,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,275,St. Austell Lodge,,St Austell,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,351,St.Anne’s Lodge,,East Looe,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,379,St. Martin’s Lodge,,Liskeard,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,404,St.John the Baptist Lodge,,Penzance,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,417,Mount Edgcumbe Lodge,,Camborne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,700,St.Columba Lodge,,St Columb,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
cornwall,mark_lodge,787,Tregenna Lodge,,St Ives (Cornwall),,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Cornwall
