province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
derbyshire,mark_lodge,246,Duke of Connaught Lodge,,Buxton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,302,Derby Lodge,,Derby,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,339,William Kelly Lodge,,Burton-on-Trent,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,353,Dove Valley Lodge,,Ashbourne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,373,Ilkeston Lodge,,Ilkeston,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,414,Saint Martin Lodge,,Alfreton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,503,Woodiwiss Lodge,,Derby,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,529,Scarsdale Lodge,,Chesterfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,595,St.Alkmund Lodge,,Belper,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,844,Dore Lodge,,Dore,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,855,Erasmus Darwin Lodge,,Derby,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,917,Joseph Cook Lodge,,Ripley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,934,Melandra Lodge,,Glossop,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,963,Derwent Lodge,,Wirksworth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,983,Trivona Lodge,,Long Eaton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,1022,Flamsteed Lodge,,Derby,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,1177,Peveril o' Peak Lodge,,New Mills,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,1416,Wulfric Spot,DE15 0LA,,"2nd Thursday OCT, 3rd Thursday Dec, Feb, Apr",,http://www.markmasonry-staffsandshrops.org.uk/
derbyshire,mark_lodge,1472,Chesterfield Lodge,,Chesterfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,1541,Provincial Grand Stewards Lodge,,Belper,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,1566,John Spencer Lodge,,Belper,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,1664,Round Table Lodge,,Dore,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,mark_lodge,1706,Derbys Installed Masters Lodge,,Belper,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
derbyshire,royal_ark_mariner,246,Duke of Connaught Lodge,,Buxton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Derbyshire
