province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
devonshire,mark_lodge,9,Fortescue Lodge,,South Molton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,15,St. George Lodge,,Exeter,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,16,Friendship Lodge,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,23,Russell Lodge,,Tavistock,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,35,Sincerity Lodge,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,48,Brunswick Lodge,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,50,St. John Lodge,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,64,St. Aubyn Lodge,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,66,Fortitude Lodge,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,76,Charity Lodge,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,91,Fidelity Huyshe Lodge,,Oreston,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
devonshire,mark_lodge,96,Metham Lodge,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Devonshire
