province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
dorset,mark_lodge,99,St. Cuthberga,,Wimborne Minster,"second Monday in February (Installation), April, October, and November",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,121,St. Mary’s,,Blandford,"last Thursday in January, March, May (Installation), September and November",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,126,All Souls,,Weymouth,"third Tuesday in January, March (Installation), September and November",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,132,Amity,,Poole,"second Thursday in February (Installation), May, September, and November",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,133,Portland,,Portland,"second Wednesday in January, February (Installation), March, October at 6.30pm; and on the second Wednesday in November and December",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,634,Naval and Military,,Portland,"first Monday in February, April, June, October, and December (Installation)",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,690,Victory,,Bridport,"fourth Monday in January, March, May, September and November (Installation)",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,763,Anglebury,,Swanage,"second Wednesday in January and March and at the Masonic Hall, Wareham on the second Wednesday in May (Installation) and November",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,1095,St. Edward the Martyr,,Shaftesbury,"third Friday in January, March (Installation), May, September, and November",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,1163,Kinson,,Bournemouth,"fourth Monday in January, March, June, and October (Installation)",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,1477,Branksome,,Branksome,"first Monday in February (Installation), June, September, and November",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,1572,Dorset Installed Mark Masters Lodge,,Wimborne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Dorset
dorset,mark_lodge,1635,Durnovarian,,Dorchester,"first Tuesday in March, May and October (Installation) and on the fourth Tuesday in November",,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,1925,Dorset Mark Stewards,,Blandford,first Wednesday in June (Installation) and the last Wednesday in November,,https://dorsetmark.org.uk/mark-lodges/
dorset,mark_lodge,2053,Brownsea Island,,Blandford,"third Wednesday of January, March, July, and October at such time as the Master shall direct",,https://dorsetmark.org.uk/mark-lodges/
dorset,royal_ark_mariner,132,Amity R.A.M.,,Poole,"fourth Tuesday in January, March (Installation), June and November",,https://dorsetmark.org.uk/ram-lodges/
dorset,royal_ark_mariner,133,Portland R.A.M.,,Portland,"first Wednesday in March, May, October (Installation) and December",,https://dorsetmark.org.uk/ram-lodges/
dorset,royal_ark_mariner,690,Victory R.A.M.,,Bridport,"second Friday in March, May (Installation) and November",,https://dorsetmark.org.uk/ram-lodges/
dorset,royal_ark_mariner,763,Anglebury R.A.M.,,Swanage,"second Wednesday in February and April (Installation) and at the Masonic Hall, Wareham on the second Wednesday in June and September",,https://dorsetmark.org.uk/ram-lodges/
dorset,royal_ark_mariner,1095,St. Edward the Martyr R.A.M.,,Shaftesbury,"third Friday in February, April, June and October (Installation)",,https://dorsetmark.org.uk/ram-lodges/
dorset,royal_ark_mariner,1477,Branksome R.A.M.,,Bournemouth,"fourth Thursday in February (Installation), April and June and the third Friday in November",,https://dorsetmark.org.uk/ram-lodges/
