province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
durham,mark_lodge,122,Percy Lodge,,Stockton-on-Tees,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,124,Union Lodge,,Sunderland,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,250,Darlington Lodge,,Darlington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,293,Industry Lodge,,Gateshead,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,356,Dunelm Lodge,,Durham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,362,Wouldhave Tyne Dock Lodge,,South Shields,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,596,Auckland Lodge,,Bishop Auckland,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,605,Bede Lodge,,Sunderland,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,701,Jarrow Lodge,,Jarrow,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,718,Ravensworth Lodge,,Sunderland,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,740,Harte Lodge,,Hartlepool,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
durham,mark_lodge,761,Hackworth Lodge,,Shildon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Durham
