province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
east_kent,mark_lodge,6,Adams Lodge,,Sheerness,"2nd Wed Jan, Apr, Nov",Nov,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,69,United Service Lodge,,"Franklin Rd, Gillingham","4th Sat Jan, Apr, Oct",Oct,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,129,Holmesdale Lodge,,Ramsgate,"3rd Wed Jan, Mar, May, Oct",Mar,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,152,Dover & Cinque Ports Lodge,,Dover,"2nd Tues in Feb, Apr, June, Nov",Nov,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,237,St. Andrews’ Lodge,,"Franklin Rd, Gillingham","1st Mon in Feb, Apr, Sept",Apr,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,255,Robinson Lodge,,"Tovil, Maidstone","4th Tues in Feb, Mar, May, Oct",May,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,262,St. Martins Lodge,,Canterbury,"4th Fri in Jan, Mar, Apr, Oct",Jan,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,266,Amherst Lodge,,Sandgate,"4th Thurs in Jan, Mar, Apr, Nov",Apr,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,364,Gordon Lodge,,Gravesend,"2nd Monday in Jan, Sept, 4th Mon in Apr",Apr,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,378,Invicta Lodge,,Ashford,"2nd Wed in May, Nov",May,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,380,Folkestone Lodge,,Folkestone,"3rd Tues in Jan. March, Oct",Oct,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,390,Granville Lodge,,Deal,"3rd Mon in Feb, May, Oct, Dec",May,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,584,Manor Of Chatham Lodge,,Chatham,"3rd Thurs in Feb, Apr, Oct",Oct,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,682,Pentangle Lodge,,Rochester,"4th Thurs Jan, May, 4th Fri Sep",Jan,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,767,Shorncliffe & Hythe Lodge,,Hythe,"3rd Wed in Feb, Apr & Oct, 2nd Wed in Dec",Apr,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,771,Herne Bay Lodge,,Herne Bay,"1st Wed in Feb, Apr, Oct, Dec",Apr,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,797,Sandwich Haven Lodge,,Sandwich,"4th Tues in Feb, Mar, Oct, Nov",Nov,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,811,Paddock Wood Medway Lodge,,Paddock Wood,4th Tues in Jan & Nov 4th Weds in Apr,Nov,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,842,St. Peter’s Lodge,,"Wigmore, Gillingham","1st Thurs in Jan, Mar, June, Nov",Mar,https://kentmarkmastermasons.org.uk/mark-lodges/
east_kent,mark_lodge,938,Whitstable Lodge,,Whitstable,"3rd Wed in Jan, Mar, Sept, Nov",Jan,https://kentmarkmastermasons.org.uk/mark-lodges/
