province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
east_lancashire,mark_lodge,18,Rectitude,,Rawtenstall,"4th Tuesday in February, May, September & November",February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,20,Faith,,Middleton,"1st Monday in March, September, November",September,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,24,Roberts,,Rochdale,"2nd Thursday in May, August & November",August,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,32,Union,,Manchester,3rd Wednesday in October & March,March,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,34,St. Andrews,,Salford,3rd Tuesday in April & September,April,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,56,Temperance,,Todmorden,"3rd Thursday in February, March April & October",October,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,136,William Romaine Callender,,Bury,"2nd Tuesday in January and March, 1st Tuesday May and October",January,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,141,Skelmersdale,,Audenshaw,3rd Tuesday in February and October,February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,142,Wike,,Radcliffe,"2nd Tuesday in February, May, September & November",February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,156,County Palatine,,Audenshaw,"2nd Monday in February, May and November",February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,159,Starkie,,Accrington,"3rd Thursday in February, April, October and December",February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,171,Union,,Uppermill,"3rd Monday in May, October and December",March,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,403,Perseverance Lodge,,Blackburn,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,mark_lodge,680,Goulburn,,Oldham,"4th Wednesday in January, March and November",November,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,689,Lancastrians,,Manchester,2nd Tuesday in April and November,November,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,693,Priory,,Whalley,"1st Wednesday in March, October and December. 3rd Wednesday in June",March,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,695,Pendle,,Padiham,"2nd Wednesday in January, March, May, August and November",January,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,745,M/c Keystone,,Manchester,"Installation 1st Tuesday in June, then 4th Monday in January and September",June,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,762,Bolton Lodge,,Bolton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,mark_lodge,852,Semper Paratus,,Bolton (The Last Drop),2nd Thursday February and September,September,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,911,Keep,,Clitheroe,"4th Thursday in January, March and November",November,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,939,Fabric,,Rochdale,"3rd Tuesday in February, April, October and December",October,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,949,Constitution,,Manchester,"3rd Tuesday in January, March and November",November,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,990,East Lancashire Provincial Grand Officers,,Manchester,October,,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,994,Salford,,Salford,"1st Thursday in February, April, October and December",February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1001,University,,Audenshaw,2nd Monday in May and October,May,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1010,Rose of York,,Manchester,4th Thursday in April and 3rd Thursday in June and August,April,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1014,Scarlet with Gawthorpe Lodge,,Burnley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,mark_lodge,1034,Gorton Lodge,,Audenshaw,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,mark_lodge,1042,Supera Moras,,Bromley Cross,"3rd Wednesday in March, May and October",March,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1059,Manchester Engineers,,Manchester,"3rd Thursday February, April, October and December",February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1065,Adoniram,,Accrington,"4th Tuesday in January, March, May, September and November",November,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1080,White Stone,,Manchester,3rd Friday January,,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1132,FW Broadbent,,Bolton,"3rd Wednesday February, April and November",February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1165,Quatuor Legati,,Bolton,"2nd Tuesday in February, May and October",February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1222,Ardwick,,Audenshaw,"4th Wednesday January, March & October",,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1272,East Lancashire Provincial Grand Stewards,,Manchester,1st Friday September,September,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1300,Turton,,Rawtenstall,1st 5th Thursday in May and November,November,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1303,Middleton Lodge,,Middleton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,mark_lodge,1309,Good Report,,Audenshaw,"3rd Wednesday in February, May and September",February,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1327,Darwen,,Darwen,"3rd Monday January, March and October",October,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1369,Integrity Lodge,,Shaw,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,mark_lodge,1381,Mossley,,Mossley,"2nd Monday in January, April, September and November",April,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1383,Thomas Sharples Barlow,,Manchester,3rd Thursday August,,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1405,The George Farnworth Nuttall,,Clayton le Moors,"1st Thursday in March, May, September and November",September,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1454,Stanley Lodge,,Audenshaw,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,mark_lodge,1459,Friendship,,Middleton,"4th Tuesday in January, March, September and November",September,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1554,De-Lacy Lodge,,Clayton-le-Moors,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,mark_lodge,1577,Progress,,Manchester,2nd Monday in January and Tues before 1st Wed,January,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1582,Wycoller,,Colne,"3rd Wednesday in February, April, August and October",August,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1649,Arnold Moreton,,Manchester,3rd Friday in May and December,May,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1716,Cornerstone,,Manchester,1st Friday June,,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1932,Secretarius,,Bury,2nd Friday May,,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,1965,Rugby Football,,Rochdale,1st 5th Thurs 1/4,April,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,mark_lodge,9008,St John's,,Bolton,"1st Thursday in March, September and November",March,https://www.eastlancsmark.org/list-of-lodges/
east_lancashire,royal_ark_mariner,18,Rectitude Lodge,,Rawtenstall,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,20,Faith Lodge,,Middleton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,24,Prince Lodge,,Rochdale,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,34,United Manchester Lodge,,Audenshaw,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,136,Lathom Lodge,,Bury,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,141,Skelmersdale Lodge,,Ashton-under-Lyne,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,156,County Palatine Lodge,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,159,Starkie Lodge,,Accrington,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,171,Union Lodge,,Oldham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,403,Perseverance Lodge,,Clayton-le-Moors,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,689,Lancastrians Lodge,,Middleton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,911,Keep Lodge,,Clitheroe,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,990,East Lancs Prov. Grand Officers Lodge,,Manchester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,994,Salford Lodge,,Salford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,1001,University of Manchester Lodge,,Audenshaw,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
east_lancashire,royal_ark_mariner,1010,Rose Of York Lodge,,Mossley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_East_Lancashire
