province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
gloucestershire,mark_lodge,10,Cheltenham and Keystone Lodge,GL52 2PB,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,218,Lyegrove & Purdown Lodge,BS16 5TB,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,340,Royal Forest of Dean Lodge,GL14 1DA,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,439,Gloucester Lodge,GL1 2HQ,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,646,Avon Lodge,BS16 1DT,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1039,Stroud Lodge,GL5 4EP,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1134,The Foster Lodge,GL12 7BE,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1238,Tewkesbury Abbey Lodge,GL20 5NP,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1374,Stow-on-the-Wold Lodge,GL54 1BB,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1387,Old Patesian Lodge,GL52 2PB,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1420,William Bathurst Lodge,GL7 1EH,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1429,Installed Masters Lodge of Reflection,GL12 7BE,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1449,Davy Lodge,BS37 6AA,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1793,Portus Abonae Lodge,BS11 9JE,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,mark_lodge,1803,Mount Sinai Lodge,BS37 6AA,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,royal_ark_mariner,10,Cheltenham and Keystone Lodge,GL52 2PB,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,royal_ark_mariner,340,Royal Forest of Dean Lodge,GL14 1DA,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,royal_ark_mariner,439,Gloucester Lodge,GL1 2HQ,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,royal_ark_mariner,646,Avon Lodge,BS11 9JE,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,royal_ark_mariner,1039,Stroud Lodge,GL5 4EP,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,royal_ark_mariner,1238,Tewkesbury Abbey Lodge,GL20 5NP,,,,http://www.gandhmark.org.uk/our-lodges/
gloucestershire,royal_ark_mariner,1374,Stow-on-the-Wold Lodge,GL54 1BB,,,,http://www.gandhmark.org.uk/our-lodges/
