province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
hampshire_iow,mark_lodge,2,Phoenix Lodge,,"Portsmouth, Phoenix Rooms, 110 High St.","1st Mon Jan, Mar, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,17,Portsmouth Lodge,,Havant,"1st Thurs Apr, Jun, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,37,Wyndham Lodge,,Andover,"4th Wed Jan, Apr, Jul, Oct",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,54,Aldershot Military,,Aldershot,"4th Tues Feb, May, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,62,Carnarvon Lodge,,Havant,"3rd Tues Mar, May, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,63,St Andrews Lodge,,Eastleigh,"4th Wed Feb, Oct, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,125,Bournemouth Lodge,,Bournemouth,"4th Wed Feb, Nov, 2nd Wed Apr, Oct",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,140,Medina Lodge,,"Cowes, IOW","3rd Thurs Feb, Apr, Jun, Oct, Dec",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,305,Gosport Lodge,,Gosport,"4th Wed Feb, May, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,320,William Hickman Lodge,,"Sandown, IOW","Last Tues Jan, Feb, Mar, Oct, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,349,Aldershot Army and Navy,,Farnborough,1st Fri Mar and Oct,,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,381,Unity Lodge,,"4th Wed Jan, Mar, May, Sept.",New Forest Lodge,,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,611,New Forest Lodge,,Lymington,"2nd Mon Jan, Feb, Apr, Sept, November",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,613,Clausentum Lodge,,"Woolston, Southampton","3rd Wed Feb, Apr, Jun, Oct, Last Wed Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,674,Loveland Lodge,,Winchester,"1st Tue Feb, Mar, Oct, Dec",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,694,Connaught Lodge,,Botley,"1st Wed Sept. 2nd Thurs Mar, May, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,739,Portsdown Lodge,,Purbrook,"1st Mon Mar, Sept, Nov,2nd Fri May",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,775,Thomas `a Becket Lodge,,"Portsmouth, Royal Navy Club","1st Thurs Feb, Apr, Jun, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,777,Mercury Lodge,,Botley,"2nd Fri Mar, May, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,809,John Pounds Lodge,,Cosham,"2nd Tues Feb, Apr, Jun, Oct, Dec",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,867,Vale of Avon Lodge,,Brockenhurst,"1st Thurs Mar, Apr, Sept, Oct",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,874,Stradbroke Lodge,,Cosham,"3rd Fri Feb, Apr, Jun, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,875,Harmony Lodge,,Fareham,"3rd Tues Jan, Apr, Jun, Oct, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,886,Oakley,,Basingstoke,"3rd Tues Jan, Mar, May, Oct",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,910,Romsey Lodge,,Southampton,"4th Mon Jan, Feb, Oct, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,951,Sir Arthur Holbrook Lodge,,"Ryde, IOW","4th Wed Feb, Apr, Oct, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,969,Winchester Lodge,,Winchester,"4th Mon Feb, Apr, Oct, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,973,William of Orange Lodge,,Petersfield,"3rd Wed Feb, Apr, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,988,Shalden Lodge,,Alton,"1st Wed Mar, May, Oct, Dec",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1048,Thistle and Shamrock Lodge,,Havant,"3rd Thurs Jan, Mar, Apr, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1049,Hindhead Lodge,,Bordon,"3rd Thurs Jan, May, Sept",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1246,Needles Lodge,,"Shanklin, IOW","3rd Mon Jan, Mar, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1258,Chandlers Ford Lodge,,Chandler’s Ford,"4th Thurs Jan, Mar, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1279,The Norman Lodge,,Chandler’s Ford,"1st Wed Feb, Mar, Oct, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1296,Thomas Dunckerley Lodge,,Gosport,"3rd Wed Feb, Apr, Jun, Oct",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1382,Botley Lodge,,Botley,"2nd Thurs Feb, Apr, Oct, Dec",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1385,Clanfield Lodge,,Hordean,"4th Mon Jan, Mar, May, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1395,Hector Young Lodge,,"Totton, Southampton","1st Thurs Apr, Jun, Sept, Dec",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1403,Woolmer Forest Lodge,,Bordon,"3rd Thurs Feb, Apr, Oct, 2nd Thurs Jun",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1453,Christchurch Lodge,,"Mudeford, Christchurch","3rd Tues Feb, Apr, 3rd Fri Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1491,Mark Education Lodge,,Purbrook,"1st Fri Feb, Jun, Oct, Dec",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1687,Hants & IoW Installed Mark Masters Lodge,,Various Locations,"First 5th Wed after 1st Feb, First 5th after 1st September",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1733,Brocas Hyrst Lodge,,New Milton,"2nd Thurs Mar, May, Sept, Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1773,Forty Steps Lodge,,Southampton,"3rd Tues Jan, May 2nd Tues Nov",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1785,Aldershot Meridian Lodge,,Aldershot,"1st Thurs Apr, May, Sept",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1796,Hants & IoW Prov Grand Stewards Lodge,,Botley,"2nd Mon Mar, Jun, Oct",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,mark_lodge,1798,Meridies Lodge,,Botley,"2nd Mon Feb, May & Oct",,https://hants-iow-mark.org/lodges-in-the-province/
hampshire_iow,royal_ark_mariner,2,Phoenix Lodge,,Portsmouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,17,Portsmouth Lodge,,Havant,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,62,Carnarvon Lodge,,Havant,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,63,Solent Lodge,,Southampton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,125,Bournemouth Lodge,,Bournemouth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,140,Medina Lodge,,Cowes,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,305,Gosport Lodge,,Gosport,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,320,Sandown Bay Lodge,,Sandown,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,613,Itchen Lodge,,Woolston,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,674,Loveland Lodge,,Winchester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,739,Portsdown Lodge,,Waterlooville,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,775,Thomas a Becket Lodge,,Cosham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,875,Harmony Lodge,,Fareham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,886,Oakley Lodge,,Basingstoke,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,969,Winchester Lodge,,Winchester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,1049,Hindhead Lodge,,Bordon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,1258,Chandlers Ford Lodge,,Chandler's Ford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,1385,Clanfield Lodge,,Horndean,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,1453,Christchurch Lodge,,Christchurch,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,1491,Mark of Education Lodge,,Cosham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,1796,Hampshire & Isle of Wight Provincial Grand Steward Lodge,,Botley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
hampshire_iow,royal_ark_mariner,1798,Meridies Lodge,,Botley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Hampshire_&_Isle_of_Wight
