province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
lincolnshire,mark_lodge,117,Remigius Lodge,DN34 5SZ,,"Third Monday in December, February, April and on the Festival of St. Michael",Michael,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,172,John O’Gaunt Lodge,DN21 2RR,,"Third Monday, September, November, January and April",April,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,188,Sutcliffe Lodge,DN34 5SZ,,"Second Friday in September, November, January and March",November,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,209,St. Wilfrids Lodge,LN13 9DP,,"Fourth Monday in February, October, November and on the Tuesday after the Third Monday in March and December",November,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,326,Urania Lodge,LN11 0WA,,"Second Tuesday February, March, October and Second Thursday December",December,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,387,St. Oswald’s Lodge,DN15 6AJ,,"Second Tuesday in September, November, January, March and May",May,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,445,St.Swithun’s Lodge,DN17 4JA,,"Fourth Wednesday, September, October, March, May and June",September,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,916,St. Wulfram’s Lodge,NG31 8BL,,"Fourth Thursday October, November, February and March",March,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,946,St. Botolphs Lodge,PE21 6QQ,,"Last Tuesday, October, November, February and April",February,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,1032,Earl Of Scarbrough Lodge,DN15 6AJ,,"Second Wednesday November, December, January, February and March",December,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,1199,Spurn & Humber Lodge,PE21 6QQ,,"Second Tuesday, November, January, March and May",May,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,1203,White Stone Lodge,DN34 5SZ,,"Third Monday September, November, January and March",January,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,1230,Alexandra Lodge,PE12 9DH,,"Fourth Tuesday January, March, September and November",March,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,1239,Saint Matthew Lodge,DN18 5DH,,"Second Tuesday October, December, February and April",October,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,1240,Mercia Lodge,PE11 1QD,,"Third Wednesday, October, November, March and April",November,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,1365,Bayons Lodge,LN8 3EW,,"Fourth Thursday October, March and May",October,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,1412,Leonard Anderson Lodge Of Installed,PE21 6QQ,,Second Wednesday in September and Third Thursday in June,September,https://markmmlincs.org.uk/lodges/
lincolnshire,mark_lodge,1732,The Haven Lodge,PE21 6QQ,,"First Friday, October, November, March and June.",June,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,117,Remigius Lodge Of,DN34 5SZ,,"First Thursday in November, February and April",November,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,172,Trent Lodge Of,DN21 2RR,,"Third Wednesday, October, January and April",October,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,188,Heneage Lodge Of,PE21 6QQ,,"Second Friday, October, December and February",December,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,209,St. Wilfrids Lodge Of,LN13 9DP,,"Fourth Monday in September, January and April and on the Tuesday after the Third Monday in May",May,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,326,St. Mary Lodge Of,LN11 0WA,,"Fourth Tuesday October, November, February and Second Thursday in May",May,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,387,St. Oswald Lodge Of,DN15 6AJ,,"Third Thursday in October, March and April",October,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,427,St. Deny’s Lodge Of,NG34 7PG,,"Last Wednesday in October, First Wednesday in December, Last Wednesday February and First Wednesday in May",February,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,445,St.Swithun’s Lodge Of,DN17 4JA,,"First Tuesday in March, Third Tuesday in June and October",June,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,916,St. Wulfram’s Lodge Of,NG31 8BL,,"Second Wednesday October, January, March and April",March,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,946,St. Nicholas Lodge Of,PE21 6QQ,,"First Monday, October, December, February and April",October,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,1032,Earl Of Scarbrough Lodge Of,DN15 6AJ,,"Fourth Wednesday, November, January and March",March,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,1240,Mercialodge Of,PE11 1QD,,"Fourth Thursday, October, February and April",October,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,1365,Bayons Lodge Of,LN8 3EW,,"Fourth Thursday in November, February and April",November,https://markmmlincs.org.uk/lodges/
lincolnshire,royal_ark_mariner,1732,The Haven Lodge Of,PE21 6QQ,,"First Thursday, December, February and April",April,https://markmmlincs.org.uk/lodges/
