province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
london_metropolitan,mark_lodge,3,Keystone,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,44,Florence Nightingale Lodge,,"Mark Masons Hall, London","3rd Thu Feb, 4th Thu May, 4th Thu Oct",May,https://kentmarkmastermasons.org.uk/mark-lodges/
london_metropolitan,mark_lodge,181,Sir Francis Burdett,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,284,High Cross,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,294,Royal Naval College,,"Mark Masons Hall, London","2nd Mon in Feb, May, 4th Mon in Oct",Feb,https://kentmarkmastermasons.org.uk/mark-lodges/
london_metropolitan,mark_lodge,332,The Greenwich Lodge,,"Mark Masons Hall, London","2nd Thurs in Apr, Dec, 4th Thurs in Sept",Sept,https://kentmarkmastermasons.org.uk/mark-lodges/
london_metropolitan,mark_lodge,350,Emblems of Service,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,357,Chiswick,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,494,Saint Pancras,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,772,Enfield,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,869,City of London,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,892,Tower Hamlets,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,1063,Middlesex Saint David's,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,mark_lodge,1138,Exedra,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,3,Keystone,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,44,Florence Nightingale Lodge,,"Mark Masons Hall, London","4th Tues in Feb, 2nd Tues in May, 4th Mon in Nov",,https://kentmarkmastermasons.org.uk/ram-lodges/
london_metropolitan,royal_ark_mariner,181,Sir Francis Burdett,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,284,High Cross,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,294,Royal Naval College,,"Mark Masons Hall, London","2nd Mon in May, 4th Mon in Oct",,https://kentmarkmastermasons.org.uk/ram-lodges/
london_metropolitan,royal_ark_mariner,332,The Greenwich Lodge,,"Mark Masons Hall, London","4th Thurs in Sept, 2nd Thurs in Apr, Dec",,https://kentmarkmastermasons.org.uk/ram-lodges/
london_metropolitan,royal_ark_mariner,350,Emblems of Service,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,357,Chiswick,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,494,Saint Pancras,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,772,Enfield,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,869,City of London,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,892,Tower Hamlets,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,1063,Middlesex Saint David's,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
london_metropolitan,royal_ark_mariner,1138,Exedra,,Mark Masons Hall,,,https://middlesexmark.org/mark-ram-directory/
