province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
monmouthshire,mark_lodge,109,Keystone Lodge,,Newport (Mon),,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,185,Ashlar Lodge,,Tredegar,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,214,St. John's Lodge,,Abergavenny,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,604,Tylery Lodge,,Ebbw Vale,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,731,Cube Stone Lodge,,Newport (Mon),,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,796,Torfaen Lodge,,Pontypool,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,1031,Maius Lodge,,Risca,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,1317,Albert Edward Lodge,,Castleton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,1422,Llantarnam Lodge,,Pontypool,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,1436,Portwall Lodge,,Chepstow,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,1447,Monmouthshire Lodge of Installed Comanders,,Tredegar,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,1474,Beaufort Lodge,,Ebbw Vale,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,1478,St. Margaret’s Lodge,,Blackwood,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,1586,Wentloog Lodge,,Castleton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,mark_lodge,1709,The Lady of the Lamp Lodge,,Chepstow,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,royal_ark_mariner,109,Keystone Lodge,,Newport (Mon),,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,royal_ark_mariner,214,St. John's Lodge,,Abergavenny,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,royal_ark_mariner,604,Duffryn Lodge,,Tredegar,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,royal_ark_mariner,796,Torfaen Lodge,,Pontypool,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,royal_ark_mariner,1031,Maius Lodge,,Risca,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,royal_ark_mariner,1317,Albert Edward Lodge,,Castleton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,royal_ark_mariner,1436,Portwall Lodge,,Chepstow,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
monmouthshire,royal_ark_mariner,1709,The Lady of the Lamp Lodge,,Chepstow,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Monmouthshire
