province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
norfolk,mark_lodge,92,Walpole,NR12 8RY,,"3rd Mon Feb, May, 4th Mon Nov.",Feb,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,538,Philanthropic,,Kings Lynn,"3rd Mon Mar, Sep, Nov",Mar,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,603,Stradbroke,,Cambs,"2nd Tues Feb, Apr, Oct, Dec",Oct,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,687,Barnard,,Wymondham,"1st Thurs Feb, Apr, June, Oct",Apr,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,717,Eversley,,Sheringham,"2nd Wed Feb, Apr, Oct, Dec",Oct,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,770,Northwic,,Aylsham,"2nd Fri Jan, Mar, Nov",Nov,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,957,Hartismere,,Diss,"1st Tues Feb, May Nov 3rd Tues Sept",Sept,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,1077,George Borrow,,Watton,"2nd Thu. Oct, Dec, Feb, April (Inst).",,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,1140,Waveney Valley,,Harleston,"1st Mon. Nov, Dec, Feb, April (Inst)",,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,1166,Ernest Hines,NR12 8RY,,"Last Tues Apr, 2 Mon June, 4 Mon Sep",Apr,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,1187,St Winnold,,Downham Market,"4th Thurs Feb, Apr, Oct",Oct,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,1418,EA Inst Mark Masters,,Diss,"3rd Sat Mar, 1st Wed Sept",Mar,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,1519,Breckland,,Thetford,"2nd Fri Feb, 2nd Fri Oct, 1st Fri June",Feb,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,1597,Yare Valley,,Norwich,"2nd Tues Nov, Jan, Mar",Nov,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,1908,Geoffrey Dicker,,Nov: Diss(I); Mar: Newmarket,"2 Fri Mar, Nov",Nov,http://www.eastangliamark.org.uk/mark-lodges
norfolk,mark_lodge,1937,East Anglia Mark Stewards,,Diss,3rd Thurs. Nov at such place as WM determines in Prov. 2nd. Thurs. June.,Nov,http://www.eastangliamark.org.uk/mark-lodges
norfolk,royal_ark_mariner,92,Bridgman,,Aylsham,"1 Fri Jan, June, 2 Fri Sept",June,http://www.eastangliamark.org.uk/ram
norfolk,royal_ark_mariner,538,Philanthropic,,Kings Lynn,"3rd Mon Mar, Sep, Nov",Mar,http://www.eastangliamark.org.uk/ram
norfolk,royal_ark_mariner,603,Stradbroke,,Cambs,"2nd Tues Feb, Apr, Oct, Dec",Feb,http://www.eastangliamark.org.uk/ram
norfolk,royal_ark_mariner,687,Mortimer,,Wymondham,"4th Wed Feb, Apr, 1st Thurs Dec",Apr,http://www.eastangliamark.org.uk/ram
norfolk,royal_ark_mariner,717,Shipden,,Sheringham,"2nd Wed Feb, Apr, Nov, Dec",Nov,http://www.eastangliamark.org.uk/ram
norfolk,royal_ark_mariner,957,Hartismere,,Diss,"1st Tues. Sept, Dec, Apr, July",Sept,http://www.eastangliamark.org.uk/ram
norfolk,royal_ark_mariner,1166,Wroxham,,Wroxham,"4th Tues May, June, July",May,http://www.eastangliamark.org.uk/ram
norfolk,royal_ark_mariner,1187,St Winnold,,Downham Market,"5th Thurs Sept to Nov and Jan to Apr, 4th Thurs Sept",Sept,http://www.eastangliamark.org.uk/ram
norfolk,royal_ark_mariner,1906,Geoffrey Dicker,,Varies,"4th Fri. Nov, Mar",Mar,http://www.eastangliamark.org.uk/ram
