province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
north_wales,mark_lodge,38,St Davids Lodge,LL30 2SW,,"1st Wednesday in October, December, February and April (5:45pm) Installation: 1st Wednesday in December (5:45pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,259,Snowdonia Lodge,LL57 4FA,,"3rd Wednesday in October, November, February and March (6pm) Installation: 3rd Wednesday in November (5:45pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,321,Elffin Lodge,LL55 1SE,,"3rd Friday in November, February, March and September (6pm) Installation: 3rd Friday in September (5:30pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,324,Hunter Lodge,LL18 4RG,,"1st Monday in November, January, March and 1st Wednesday in May (6pm) Installation: 1st Monday in November (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,360,St Eilian Lodge,LL68 9EY,,"2nd Wednesday in February, April, September and November (5:45pm) Installation: 2nd Wednesday in September",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,688,St Seiriol Lodge,LL65 1RR,,"3rd Tuesday in February, April, September and November (6:30pm) Installation: 3rd Tuesday in February (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,760,St Giles Lodge,LL11 2AF,,"1st Thursday in February, April, September and November (6:15pm) Installation: 1st Thursday in November (6:15pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,821,Idris Lodge,LL57 4FA,,"2nd Wednesday in February (Bala), April (Barmouth), November (Bala) and December (Barmouth) all at 6:30pm Installation: 2nd Wednesday in April (Barmouth) at 5:30pm",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,838,Hawarden Lodge,,,"2nd Thursday in February, April, October and December (6pm) Installation: 2nd Thursday in February (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,919,St Mabon Lodge,,,"4th Monday in October, November, February and March (6pm) Installation: 4th Monday in November (5:45pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,927,Eifl Lodge,LL53 5SW,,"3rd Tuesday in February, April, September and November (6pm) Installation: 3rd Tuesday in November (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1084,Welchpool Lodge,SY21 7SS,,"1st Thursday in February, March, October and November (6:30pm) Installation: 1st Thursday in October (6:30pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1169,Colwyn Lodge,LL29 8DW,,"1st Thursday in January, March, May and November (6pm) Installation: 1st Thursday in March (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1394,Holywell Lodge,CH8 9HW,,"2nd Thursday in January, March, September and November (6:30pm) Installation: 2nd Thursday in March (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1451,Maen Clo Lodge,LL30 2SW,,"5th Monday in March, April, May, September, October and November, when such Mondays occur (6:15pm) Installation: 1st Meeting of the year (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1509,Flint Lodge,CH6 5LQ,,"3rd Thursday in January, 1st Monday in March, 2nd Monday in September, 2nd Tuesday in November (6pm) Installation: 1st Monday in March (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1591,North Wales Lodge of Installed,CH5 3HE,,"3rd Saturday in February, May, September (11am) Installation: 3rd Saturday in May (11am)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1647,Dyffryn Clwyd Lodge,CH7 1AX,,"1st Tuesday in October, January, March, and May (6:15pm) Installation: 1st Tuesday in October (6:15pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1703,Buckley Lodge,,,"2nd Monday in May, 1st Monday in February, September and November (6:30pm) Installation: 1st Monday in September (5:30pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1708,Gwynedd Lodge of Installed,LL57 4FA,,3rd Friday in May and last Friday in September (6pm) Installation: Last Friday in September (6pm),,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1772,St Grwst Lodge,LL33 0BD,,"4th Wednesday in September, October, May and June (6pm) Installation: 4th Wednesday in October (5:30pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1929,North Wales Provincial Grand Stewards Lodge,LL18 4RG,,2nd Saturday in November and March (11am) Installation: 2nd Saturday in March (11am),,https://northwalesmark.co.uk/lodge-directory/
north_wales,mark_lodge,1973,Eryri Lodge,LL30 2SW,,"1st Tuesday in May, October, January (11am). October and January meetings at venue to be decided by WM. Installation: 1st Tuesday in May at Llandudno (11am)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,royal_ark_mariner,38,Yr Ysgallen Lodge,LL30 2SW,,"2nd Friday in February, April, October and December (6pm) Installation: 2nd Friday in October",,https://northwalesmark.co.uk/lodge-directory/
north_wales,royal_ark_mariner,259,Y Geninen Lodge,LL57 4FA,,"3rd Wednesday in January, 2nd Thursday in March, May and September (6pm) Installation: 3rd Wednesday in January (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,royal_ark_mariner,324,Hunter Lodge,LL18 4RG,,"3rd Wednesday in February, April, October and December (6pm) Installation: 3rd Wednesday in April (6pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,royal_ark_mariner,360,St Eilian Lodge,LL68 9EY,,"4th Wednesday in February (at Holyhead), April, September and November (6:30pm) Installation: 4th Wednesday in September (6:30pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,royal_ark_mariner,760,St Giles Lodge,LL11 2AF,,"Last Tuesday in February, April, September and November (7pm) Installation: Last Tuesday in November (7pm)",,https://northwalesmark.co.uk/lodge-directory/
north_wales,royal_ark_mariner,821,Idris Lodge,LL57 4FA,,"2nd Thursday in October (Barmouth) and March (Pwllheli), 3rd Tuesday in May (Bala) Installation: 2nd Thursday in October",,https://northwalesmark.co.uk/lodge-directory/
