province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
northumberland,mark_lodge,135,Hotspur with Coquetdale,,Alnwick,3rd Wednesday in Feb Apr Oct Dec,April,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,192,St. Cuthbert's,,Berwick-upon-Tweed,3rd Wednesday in Jan Mar May Sept Nov,May,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,346,Tristram,,Newcastle upon Tyne,2nd Tuesday in Feb Apr Oct Nov Dec,October,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,463,Gosforth,,Wallsend,4th Monday in Feb Apr Sept Oct Nov,September,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,546,Hartford,,Bedlington,2nd Tuesday in Jan Mar May Sept Nov,May,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,547,Blagdon,,Blyth,1st Wednesday in Feb Mar Apr Oct Dec,April,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,691,Morpeth,,Morpeth,3rd Thursday in Feb Apr Oct,April,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,702,Thomas Purvis,,Newcastle upon Tyne,4th Monday in Jan Mar May Sept,September,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,708,Unity,,Morpeth,2nd Friday in Jul May Oct,May,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,750,Haven,,North Shields,2nd Monday in Feb Apr Oct Dec,April,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,780,Amble,,Amble,4th Wednesday in Mar May Sept Nov,March,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,788,Whitley,,Whitley Bay,4th Wednesday in Mar Apr Sept Nov,November,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,890,Ashington,,Ashington,1st Thursday in Apr Jun Oct Dec,April,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1033,Risingham,,Bellingham,2nd Tuesday in Mar July Sept Oct,October,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1141,Newgate,,Wallsend,1st Monday in Feb Apr Oct Dec,April,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1147,Grainger,,Wallsend,4th Friday in Feb Mar Apr Sept,September,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1155,Nepos,,Newcastle upon Tyne,3rd Tuesday in Mar May Sept Nov,March,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1161,Hexham,,Hexham,2nd Wednesday in Feb Apr Jun Oct Dec,June,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1189,Backworth,,Shiremoor,2nd Tuesday in Mar Apr Sept Oct Nov,November,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1235,Cramlington,,Cramlington,3rd Monday in Mar Apr May Sept,September,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1290,De La Val,,Seaton Delaval,2nd Thursday in Jan Mar May Sept Nov,September,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1483,Adoniram,,Blyth,2nd Friday in Mar Jun Nov,November,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1527,The George Stephenson,,Wylam,1st Thursday in Mar May Sept Nov,May,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1540,Farne,,Alnwick,4th Friday in Apr Jun Oct,June,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1550,Ponteland,,Ponteland,Last Thursday in Jan Apr Oct,October,https://northmark.org.uk/mark-lodges/
northumberland,mark_lodge,1890,Oriental,,Newcastle upon Tyne,1st Monday in Mar June Oct,October,https://northmark.org.uk/mark-lodges/
