province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
nottinghamshire,mark_lodge,265,Fleming Lodge,,Newark,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,344,St. Albans Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,500,Royal York Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,632,Fitz Hugh Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,654,Mansfield Manor Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,810,Bassetlaw Lodge,,Worksop,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,818,Shelford Priory Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,940,Galway Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1144,Woodthorpe Lodge,,Chilwell,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1146,Ashfield Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1299,Ribblesdale Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1307,West Bridgford Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1311,Carnarvon Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1347,Chilwell Lodge,,Chilwell,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1359,The Magdala Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1464,Nottm. Excelsior Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1482,Fidelis Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1506,Nottingham Jubilee Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1513,Saint Peter's Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
nottinghamshire,mark_lodge,1526,Trent Lodge,,Newark,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Nottinghamshire
