province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
oxfordshire,mark_lodge,225,Abbey Lodge,,Abingdon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,mark_lodge,847,Cherwell Lodge,,Banbury,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,mark_lodge,980,Marlborough Lodge,,Woodstock,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,mark_lodge,1183,Thames Lodge,,Henley-on-Thames,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,mark_lodge,1242,St. Mary's Lodge,,Thame,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,mark_lodge,1305,Weyland Lodge,,Bicester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,mark_lodge,1386,Windrush Lodge,,Witney,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,mark_lodge,1443,Wychwood Lodge,,Burford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,mark_lodge,1655,Bowyer Lodge,,Chipping Norton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,royal_ark_mariner,225,Abbey Lodge,,Abingdon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,royal_ark_mariner,847,Cherwell Lodge,,Banbury,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,royal_ark_mariner,980,Marlborough Lodge,,Woodstock,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,royal_ark_mariner,1183,Thames Lodge,,Henley-on-Thames,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,royal_ark_mariner,1242,St. Mary's Lodge,,Thame,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,royal_ark_mariner,1386,Windrush Lodge,,Witney,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
oxfordshire,royal_ark_mariner,1655,Bowyer Lodge,,Chipping Norton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Oxfordshire
