province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
shropshire,mark_lodge,444,Shropshire,SY1 2HQ,,"3rd Friday Nov, Mar, MAY",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,840,North Shropshire,SY12 0AL,,"1st Tuesday NOV, 4th Tuesday Feb, Apr",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,982,St. Oswald,SY11 2EP,,"4th Tuesday Oct, Feb, APR",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,1021,Talbot,SY13 1BQ,,"4th Wednesday Sep, Nov, Mar, MAY",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,1085,Hantune,WV7 3LU,,"3rd Monday SEPT, Nov, Jan, Apr",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,1129,Wrekin,TF10 7HD,,"2nd Thursday OCT, Dec, Feb, Apr",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,1150,South Shropshire,SY8 4DZ,,"Ludlow (2nd Wed Nov, Feb, Apr 1st Wednesday JUN",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,1450,Hills,SY6 6BY,,"3rd Friday Oct, Jan, 2nd Friday MAY",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,1581,Centenary,SY13 1BQ,,"Daylight, 3rd Wednesday FEB, June, Oct",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,1617,Severn,,Bridgnorth,"2nd Tuesday Oct, Jan, APR",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,mark_lodge,1630,Round Table and Rotary,TF10 7HD,,"1st Tuesday SEP, 4th Wednesday Nov, 3rd Monday Mar",,http://www.markmasonry-staffsandshrops.org.uk/
shropshire,royal_ark_mariner,1150,South Shropshire,SY8 4DZ,,"3rd Wednesday Oct, Feb, 4th Wednesday MAY",,http://www.markmasonry-staffsandshrops.org.uk/
