province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
staffordshire,mark_lodge,45,Gough,ST1 4NA,,"1st Tuesday Oct, Dec, FEB, Apr",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,186,Wulfruna,,Wolverhampton,"3rd Friday SEPT, Nov, Feb, May",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,290,Tudor Lodge of Rifle Volunteers,,Wolverhampton,"2nd Wednesday NOV, Jan, Mar, May",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,541,Staffordshire Knot,ST16 3AJ,,"4th Tuesday OCT, Jan, Mar",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,650,St. Bartholomew,WS10 7AZ,,"3rd Tuesday Oct, Mar, APR",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,862,Regis,,West Bromwich,"2nd Thurs OCT, Dec, Feb, Apr",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,933,Noel Boardman Walsall,WS9 8NH,,"1st Monday Oct, Mar 3rd Monday in Jan, 2nd Monday MAY",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,960,North Staffordshire,ST1 4NA,,"1st Tuesday NOV, 4th Tuesday Feb, Apr",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,993,Dartmouth,,West Bromwich,"4th Monday Sept, Nov, APR",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,1127,Beaudesart,ST19 5RN,,"2nd Tuesday Oct, Feb, APR",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,1182,St Edward's,ST13 5NW,,"3rd Thurdsay Oct, Feb, APR",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,1304,Robert Mummery,ST19 5RN,,"3rd Wednesday Sep, NOV, Jan, Mar",,http://www.markmasonry-staffsandshrops.org.uk/
staffordshire,mark_lodge,1392,Joseph Whittall,ST19 5RN,,1st Mon Sept (shrewsbury) 4th Thurs Jan and MAY (Chase),,http://www.markmasonry-staffsandshrops.org.uk/
