province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
sussex,mark_lodge,75,Royal Sussex Lodge,,Hove,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,164,The Southdown Lodge,,Haywards Heath,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,166,The East Sussex Lodge,,St. Leonards,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,168,Hova Lodge,,Brighton,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,223,West Smithfield Lodge,,Chichester,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,386,Adur Lodge,,Brighton,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,391,Lewis Lodge,,Lewes,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,409,Royal Connaught Lodge,,,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,426,Brighton Lodge,,Lewes,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,449,Mid Sussex Lodge,,Horsham,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,453,West Sussex Lodge,,Worthing,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,484,Eastbourne Lodge,,Eastbourne,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,568,Regnum Lodge,,Chichester,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,631,Thornton Lodge,,Uckfield,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,703,Hothampton Lodge,,Bognor Regis,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,732,Persevere Lodge,,Brighton,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,918,Rottingdean Lodge,,Brighton,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,978,The Temperance Motorcycling Lodge,,Littlehampton,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,979,Arts & Crafts Lodge,,Brighton,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1009,Midhurst Lodge,,Midhurst,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1025,Duke of Richmond Lodge,,Eastbourne,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1058,Bexhill Lodge,,Bexhill,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1086,Abbey Lodge,,Battle,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Sussex
sussex,mark_lodge,1117,Hampton Parva Lodge,,Littlehampton,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1158,Sussex Installed Mark Masters Lodge,,Brighton,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1234,Hailsham Lodge,,Herstmonceaux,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1241,Earl of Courtown Lodge,,East Grinstead,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1245,Pulborough Lodge,,Pulborough,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1375,Charles H Mosse Military Lodge,,Peacehaven,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1490,Harold W Richardson Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Sussex
sussex,mark_lodge,1520,St Margaret of Antioch Lodge,,Ifield,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1530,Heffle Lodge,,Burwash,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1556,Wellington Lodge,,Rye,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1747,Sussex Mark Provincial Grand Stewards Lodge,,Peacehaven,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1763,Charmandean Lodge,,Worthing,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Sussex
sussex,mark_lodge,1795,James Webster Lodge,,Brighton,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1831,Thomas à Becket Lodge,,Worthing,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1876,Clifford W Jeapes Lodge,,Peacehaven,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1898,West Sussex Lodge of Installed,,Chichester,,,https://sussexmark.org.uk/mark/
sussex,mark_lodge,1931,Amity Lodge,,Peacehaven,,,https://sussexmark.org.uk/mark/
sussex,royal_ark_mariner,75,Sussex Lodge,,"Brighton on 3rd Monday of February (I), April and November",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,164,Southdown Lodge,,"Haywards Heath on 2nd Wednesday of April, June and 3rd Thursday of October (I)",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,166,East Sussex Lodge,,"St. Leonards on 2nd Thursday of May, Last Wednesday of August, 4th Monday of November (I)",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,223,West Smithfield Lodge,,"Chichester on 3rd Thursday of January, 2nd Thursday of April, 4th Thursday of November (I)",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,391,Lewis Lodge,,"Lewes on 4th Tuesday of February, September (I), 2nd Tuesday of May",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,409,Royal Connaught Lodge,,Brighton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Sussex
sussex,royal_ark_mariner,449,Mid Sussex Lodge,,"Horsham on 1st Monday of March, November, 3rd Thursday of May (I)",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,453,Broadwater Lodge,,"Worthing on 4th Wednesday in January (I), May and 3rd Wednesday in September",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,484,Eastbourne Lodge,,"Eastbourne on 3rd Friday of February, April, 2nd Wednesday of October (I)",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,568,Regnum Lodge,,"Chichester on 2nd Thursday of March, 2nd Monday of May and 3rd Monday of October (I)",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,631,Thornton Lodge,,"Uckfield on 1st Friday of February, May, November (I)",,,https://sussexmark.org.uk/ram/
sussex,royal_ark_mariner,703,Hothampton Lodge,,"Bognor Regis on 4th Monday of March, October, 2nd Wednesday of May (I)",,,https://sussexmark.org.uk/ram/
