province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
yorkshire_wr,mark_lodge,14,Prince Edward Lodge,,Lindley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,53,Britannia Lodge,,Sheffield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,58,Fearnley Lodge,,Mirfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,110,Integrity Lodge,,Wakefield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,111,Copley Lodge,,Leeds,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,127,Portal Lodge,,Barnsley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,137,Truth Lodge,,Huddersfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,352,Prince Leopold Lodge,,Ripon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,374,St. Chad Lodge,,Leeds,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,398,Danum Lodge,,Doncaster,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,457,Legiolium Lodge,,Castleford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,493,Eland Lodge,,West Vale,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,501,Caldene Lodge,,Eastwood,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,525,Haywra Lodge,,Harrogate,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,535,Bronte Lodge,,Haworth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,545,Dartmouth Lodge,,Slaithwaite,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,618,Cleeves Lodge,,Sheffield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,641,Dewsbury Lodge,,Dewsbury,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,651,Rother Lodge,,Rotherham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,658,Pudsey Lodge,,Pudsey,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,669,Aries Lodge,,Bradford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,681,Peace Lodge,,Uppermill,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,706,Halifax Lodge,,Halifax,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,715,Lightcliffe Lodge,,Hipperholme,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
yorkshire_wr,mark_lodge,727,Worth Lodge,,Keighley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_West_Yorkshire
