province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
middlesex,craft_lodge,72,Royal Jubilee Lodge,,,,,https://onthesquare.co/lodge/royal-jubilee-lodge/,
middlesex,craft_lodge,255,Lodge of Harmony,,,,,https://onthesquare.co/lodge/lodge-of-harmony-3/,
middlesex,craft_lodge,382,Royal Union Lodge,,,,,https://onthesquare.co/lodge/royal-union-lodge-2/,
middlesex,craft_lodge,778,Bard of Avon Lodge,,,,,https://onthesquare.co/lodge/bard-of-avon-lodge/,
middlesex,craft_lodge,788,Crescent Lodge,,,,,https://onthesquare.co/lodge/crescent-lodge/,
middlesex,craft_lodge,858,South Middlesex Lodge,,,,,https://onthesquare.co/lodge/south-middlesex-lodge/,
middlesex,craft_lodge,865,Dalhousie & Call Sign Lodge,,,,,https://onthesquare.co/lodge/dalhousie-call-sign-lodge/,
middlesex,craft_lodge,946,Strawberry Hill Lodge,,,,,https://onthesquare.co/lodge/strawberry-hill-lodge/,
middlesex,craft_lodge,1194,Villiers Lodge,,,,,https://onthesquare.co/lodge/villiers-lodge/,
middlesex,craft_lodge,1237,Enfield Lodge,,,,,https://onthesquare.co/lodge/enfield-lodge/,
middlesex,craft_lodge,1238,Gooch Lodge,,,,,https://onthesquare.co/lodge/gooch-lodge/,
middlesex,craft_lodge,1293,Burdett Lodge,,,,,https://onthesquare.co/lodge/burdett-lodge/,
middlesex,craft_lodge,1309,Acacia Lodge,,,,,https://onthesquare.co/lodge/acacia-lodge/,
middlesex,craft_lodge,1310,Harrow Temple in Unity Lodge,,,,,https://onthesquare.co/lodge/harrow-temple-in-unity-lodge/,
middlesex,craft_lodge,1415,Campbell Lodge,,,,,https://onthesquare.co/lodge/campbell-lodge/,
middlesex,craft_lodge,1423,Era Lodge,,,,,https://onthesquare.co/lodge/era-lodge/,
middlesex,craft_lodge,1460,Thames Valley Lodge,,,,,https://onthesquare.co/lodge/thames-valley-lodge/,
middlesex,craft_lodge,1494,Felix Lodge,,,,,https://onthesquare.co/lodge/felix-lodge/,
middlesex,craft_lodge,1503,Sir Francis Burdett Lodge,,,,,https://onthesquare.co/lodge/sir-francis-burdett-lodge/,
middlesex,craft_lodge,1512,Hemming Lodge,,,,,https://onthesquare.co/lodge/hemming-lodge/,
middlesex,craft_lodge,1567,Elliot Lodge,,,,,https://onthesquare.co/lodge/elliot-lodge/,
middlesex,craft_lodge,1691,Quadratic Lodge,,,,,https://onthesquare.co/lodge/quadratic-lodge/,
middlesex,craft_lodge,1702,Middlesex Shooting Sports Lodge,,,,,https://onthesquare.co/lodge/middlesex-shooting-sports-lodge/,
middlesex,craft_lodge,1733,Sunbury Lodge,,,,,https://onthesquare.co/lodge/sunbury-lodge/,
middlesex,craft_lodge,1777,Royal Hanover Lodge,,,,,https://onthesquare.co/lodge/royal-hanover-lodge/,
middlesex,craft_lodge,1793,Sir Charles Bright Lodge,,,,,https://onthesquare.co/lodge/sir-charles-bright-lodge/,
middlesex,craft_lodge,1897,Citadel Lodge,,,,,https://onthesquare.co/lodge/citadel-lodge/,
middlesex,craft_lodge,2032,Richmond Lodge,,,,,https://onthesquare.co/lodge/richmond-lodge-2/,
middlesex,craft_lodge,2163,Jersey Lodge,,,,,https://onthesquare.co/lodge/jersey-lodge/,
middlesex,craft_lodge,2381,Bushey Park Lodge,,,,,https://onthesquare.co/lodge/bushey-park-lodge/,
middlesex,craft_lodge,2523,Roll Call Lodge,,,,,https://onthesquare.co/lodge/roll-call-lodge/,
middlesex,craft_lodge,2548,Herga Lodge,,,,,https://onthesquare.co/lodge/herga-lodge/,
middlesex,craft_lodge,2563,Justicia Lodge,,,,,https://onthesquare.co/lodge/justicia-lodge/,
middlesex,craft_lodge,2902,St Clair Lodge,,,,,https://onthesquare.co/lodge/st-clair-lodge/,
middlesex,craft_lodge,2914,Wembley Lodge,,,,,https://onthesquare.co/lodge/wembley-lodge/,
middlesex,craft_lodge,2945,King Alfred Lodge,,,,,https://onthesquare.co/lodge/king-alfred-lodge/,
middlesex,craft_lodge,3056,Colindale Lodge,,,,,https://onthesquare.co/lodge/colindale-lodge/,
middlesex,craft_lodge,3069,Gordon Langton Lodge,,,,,https://onthesquare.co/lodge/gordon-langton-lodge/,
middlesex,craft_lodge,3123,Horsa-dun Lodge,,,,,https://onthesquare.co/lodge/horsa-dun-lodge/,
middlesex,craft_lodge,3309,Hamilton Lodge,,,,,https://onthesquare.co/lodge/hamilton-lodge-2/,
middlesex,craft_lodge,3420,Middlesex Masters Lodge,,,,,https://onthesquare.co/lodge/middlesex-masters-lodge/,
middlesex,craft_lodge,3423,Pinner Lodge,,,,,https://onthesquare.co/lodge/pinner-lodge/,
middlesex,craft_lodge,3534,Alma Lodge,,,,,https://onthesquare.co/lodge/alma-lodge/,
middlesex,craft_lodge,3866,Edgware Lodge,,,,,https://onthesquare.co/lodge/edgware-lodge/,
middlesex,craft_lodge,3940,Brent Valley Lodge,,,,,https://onthesquare.co/lodge/brent-valley-lodge/,
middlesex,craft_lodge,3980,Draytonian Lodge,,,,,https://onthesquare.co/lodge/draytonian-lodge/,
middlesex,craft_lodge,4203,Hadley Highstone Lodge,,,,,https://onthesquare.co/lodge/hadley-highstone-lodge/,
middlesex,craft_lodge,4278,Twickenham Lodge,,,,,https://onthesquare.co/lodge/twickenham-lodge/,
middlesex,craft_lodge,4317,Cedars of Lebanon Lodge,,,,,https://onthesquare.co/lodge/cedars-of-lebanon-lodge/,
middlesex,craft_lodge,4368,Borough of Acton Lodge,,,,,https://onthesquare.co/lodge/borough-of-acton-lodge/,
middlesex,craft_lodge,4517,Gothic Lodge,,,,,https://onthesquare.co/lodge/gothic-lodge/,
middlesex,craft_lodge,4528,Teddington Lodge,,,,,https://onthesquare.co/lodge/teddington-lodge/,
middlesex,craft_lodge,4529,Sudbury Lodge,,,,,https://onthesquare.co/lodge/sudbury-lodge/,
middlesex,craft_lodge,4791,Fulcorn Lodge,,,,,https://onthesquare.co/lodge/fulcorn-lodge/,
middlesex,craft_lodge,4888,Heston Lodge,,,,,https://onthesquare.co/lodge/heston-lodge/,
middlesex,craft_lodge,4900,Syenes Lodge,,,,,https://onthesquare.co/lodge/syenes-lodge/,
middlesex,craft_lodge,4909,Greenford Lodge,,,,,https://onthesquare.co/lodge/greenford-lodge/,
middlesex,craft_lodge,4970,Albert Duke of York Lodge,,,,,https://onthesquare.co/lodge/albert-duke-of-york-lodge/,
middlesex,craft_lodge,4994,Northwood Lodge,,,,,https://onthesquare.co/lodge/northwood-lodge/,
middlesex,craft_lodge,5020,Northwick Lodge,,,,,https://onthesquare.co/lodge/northwick-lodge/,
middlesex,craft_lodge,5046,Kenton Lodge,,,,,https://onthesquare.co/lodge/kenton-lodge/,
middlesex,craft_lodge,5141,Hale Lodge,,,,,https://onthesquare.co/lodge/hale-lodge-2/,
middlesex,craft_lodge,5193,Isleworth Lodge,,,,,https://onthesquare.co/lodge/isleworth-lodge/,
middlesex,craft_lodge,5194,Harrow Weald Lodge,,,,,https://onthesquare.co/lodge/harrow-weald-lodge/,
middlesex,craft_lodge,5220,Hegeston Lodge,,,,,https://onthesquare.co/lodge/hegeston-lodge/,
middlesex,craft_lodge,5304,Ansgar Lodge,,,,,https://onthesquare.co/lodge/ansgar-lodge/,
middlesex,craft_lodge,5446,Clapham Park Lodge,,,,,https://onthesquare.co/lodge/clapham-park-lodge/,
middlesex,craft_lodge,5460,Middlesex St David’s Lodge,,,,,https://onthesquare.co/lodge/middlesex-st-davids-lodge/,
middlesex,craft_lodge,5548,Alperton Lodge,,,,,https://onthesquare.co/lodge/alperton-lodge/,
middlesex,craft_lodge,5576,Woodcock Hill Lodge,,,,,https://onthesquare.co/lodge/woodcock-hill-lodge/,
middlesex,craft_lodge,5596,Ariel Lodge,,,,,https://onthesquare.co/lodge/ariel-lodge/,
middlesex,craft_lodge,5655,Parsifal Lodge,,,,,https://onthesquare.co/lodge/parsifal-lodge/,
middlesex,craft_lodge,5746,United Friendship Lodge,,,,,https://onthesquare.co/lodge/united-friendship-lodge/,
middlesex,craft_lodge,5749,Hundred Elms Lodge,,,,,https://onthesquare.co/lodge/hundred-elms-lodge/,
middlesex,craft_lodge,5770,Ickenham Lodge,,,,,https://onthesquare.co/lodge/ickenham-lodge/,
middlesex,craft_lodge,5835,Harmony Lodge,,,,,https://onthesquare.co/lodge/harmony-lodge-2/,
middlesex,craft_lodge,5836,Middlesex Home Service Lodge,,,,,https://onthesquare.co/lodge/middlesex-home-service-lodge/,
middlesex,craft_lodge,5837,Middlesex Century Lodge,,,,,https://onthesquare.co/lodge/middlesex-century-lodge/,
middlesex,craft_lodge,5861,Alert Lodge,,,,,https://onthesquare.co/lodge/alert-lodge/,
middlesex,craft_lodge,5902,Norma Lodge,,,,,https://onthesquare.co/lodge/norma-lodge/,
middlesex,craft_lodge,5903,Argus Lodge,,,,,https://onthesquare.co/lodge/argus-lodge/,
middlesex,craft_lodge,5957,Invictus Lodge,,,,,https://onthesquare.co/lodge/invictus-lodge-2/,
middlesex,craft_lodge,5964,Harrow Progress Lodge,,,,,https://onthesquare.co/lodge/harrow-progress-lodge/,
middlesex,craft_lodge,5993,Peachey Stone Lodge,,,,,https://onthesquare.co/lodge/peachey-stone-lodge/,
middlesex,craft_lodge,6028,Ickenham St Giles Lodge,,,,,https://onthesquare.co/lodge/ickenham-st-giles-lodge/,
middlesex,craft_lodge,6086,Lodge of Aspiration,,,,,https://onthesquare.co/lodge/lodge-of-aspiration/,
middlesex,craft_lodge,6146,Greystoke Lodge,,,,,https://onthesquare.co/lodge/greystoke-lodge/,
middlesex,craft_lodge,6187,Staines St Mary’s Lodge,,,,,https://onthesquare.co/lodge/staines-st-marys-lodge/,
middlesex,craft_lodge,6191,Victory Lodge,,,,,https://onthesquare.co/lodge/victory-lodge-3/,
middlesex,craft_lodge,6430,Osterley Lodge,,,,,https://onthesquare.co/lodge/osterley-lodge/,
middlesex,craft_lodge,6435,Hampton Lodge,,,,,https://onthesquare.co/lodge/hampton-lodge/,
middlesex,craft_lodge,6456,Rose of England Lodge,,,,,https://onthesquare.co/lodge/rose-of-england-lodge/,
middlesex,craft_lodge,6503,Fortitude Lodge,,,,,https://onthesquare.co/lodge/fortitude-lodge-2/,
middlesex,craft_lodge,6557,North Harrow Lodge,,,,,https://onthesquare.co/lodge/north-harrow-lodge/,
middlesex,craft_lodge,6565,Northolt Lodge,,,,,https://onthesquare.co/lodge/northolt-lodge/,
middlesex,craft_lodge,6686,Putney Bridge Lodge,,,,,https://onthesquare.co/lodge/putney-bridge-lodge/,
middlesex,craft_lodge,6698,Richmond Hill Lodge,,,,,https://onthesquare.co/lodge/richmond-hill-lodge/,
middlesex,craft_lodge,6905,Roxeth Lodge,,,,,https://onthesquare.co/lodge/roxeth-lodge/,
middlesex,craft_lodge,6981,Greenhill Lodge,,,,,https://onthesquare.co/lodge/greenhill-lodge-2/,
middlesex,craft_lodge,7019,Belmont Lodge,,,,,https://onthesquare.co/lodge/belmont-lodge/,
middlesex,craft_lodge,7066,Uxbridge Lodge,,,,,https://onthesquare.co/lodge/uxbridge-lodge/,
middlesex,craft_lodge,7126,Votary Lodge,,,,,https://onthesquare.co/lodge/votary-lodge/,
middlesex,craft_lodge,7151,Boston Manor Lodge,,,,,https://onthesquare.co/lodge/boston-manor-lodge/,
