province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
monmouthshire,royal_arch,7901,Llantarnam Royal Arch Chapter,NP4 8AT,,"Fourth Friday in February, second Friday in April, December, and September",September,https://monmouthshirefreemasons.org/lodge/llantarnamchapter7901/,
monmouthshire,royal_arch,4562,Crystal Royal Arch Chapter,,,"Fourth Wednesday in May, third Wednesday in December, February, and October",May,https://monmouthshirefreemasons.org/lodge/crystalchapter4562/,
monmouthshire,royal_arch,4074,Frederick Phillips Royal Arch Chapter,,,,,https://monmouthshirefreemasons.org/lodge/frederickphillipschapter4074/,
monmouthshire,royal_arch,3762,Gwent Royal Arch Chapter,NP12 0NT,,"First Tuesday in February, April, October, and December",April,https://monmouthshirefreemasons.org/lodge/gwentchapter3762/,
monmouthshire,royal_arch,2964,Mon First Principals Royal Arch Chapter,NP4 8AT,,Third Monday in February and fourth Thursday in October,October,https://monmouthshirefreemasons.org/lodge/monfirstprincipalschapter2964/,
monmouthshire,royal_arch,2226,St David’s Royal Arch Chapter,NP22 5LY,,"Second Monday in January, April and October",July,https://monmouthshirefreemasons.org/lodge/stdavidschapter2226/,
monmouthshire,royal_arch,2186,Striguil Royal Arch Chapter,,,"First Wednesday in February, April, October, and December",April,https://monmouthshirefreemasons.org/lodge/striguilchapter2186/,
monmouthshire,royal_arch,1562,Homfray Royal Arch Chapter,NP11 6HB,,"Second Wednesday in February, April, October, and December",February,https://monmouthshirefreemasons.org/lodge/homfraychapter1562/,
monmouthshire,royal_arch,1098,Prince of Wales Royal Arch Chapter,NP22 3NA,,Third Thursday in June and November,June,https://monmouthshirefreemasons.org/lodge/princeofwaleschapter1098/,
monmouthshire,royal_arch,818,St John’s Royal Arch Chapter,NP7 5RT,,"Second Wednesday in March, May, September, November",November,https://monmouthshirefreemasons.org/lodge/stjohnschapter818/,
monmouthshire,royal_arch,683,St Woolos Royal Arch Chapter,NP20 2AG,,"First Wednesday in March, May, and November",March,https://monmouthshirefreemasons.org/lodge/stwooloschapter683/,
