province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
norfolk,craft_lodge,52,Union Lodge,,,,,https://onthesquare.co/lodge/union-lodge-3/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,85,Faithful Lodge,,,,,https://onthesquare.co/lodge/faithful-lodge-2/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,93,Social Lodge,,,,,https://onthesquare.co/lodge/social-lodge-2/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,100,Lodge of Friendship,,,,,https://onthesquare.co/lodge/lodge-of-friendship-2/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,102,Lodge of Unanimity,,,,,https://onthesquare.co/lodge/lodge-of-unanimity-2/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,107,Philanthropic Lodge,,,,,https://onthesquare.co/lodge/philanthropic-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,213,Lodge of Perseverance,,,,,https://onthesquare.co/lodge/lodge-of-perseverance/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,313,Lodge of United Friends,,,,,https://onthesquare.co/lodge/lodge-of-united-friends/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,807,Cabbell Lodge,,,,,https://onthesquare.co/lodge/cabbell-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,943,Lodge of Sincerity,,,,,https://onthesquare.co/lodge/lodge-of-sincerity-2/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,996,Sondes Lodge,,,,,https://onthesquare.co/lodge/sondes-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,1114,Joppa Lodge,,,,,https://onthesquare.co/lodge/joppa-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,1193,Doric Lodge,,,,,https://onthesquare.co/lodge/doric-lodge-5/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,1500,Walpole Lodge,,,,,https://onthesquare.co/lodge/walpole-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,1741,Montgomerie Lodge,,,,,https://onthesquare.co/lodge/montgomerie-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,1808,Suffield Lodge,,,,,https://onthesquare.co/lodge/suffield-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,2237,Earl of Leicester Lodge,,,,,https://onthesquare.co/lodge/earl-of-leicester-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,2602,Baring Lodge,,,,,https://onthesquare.co/lodge/baring-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,2879,Ceres Lodge,,,,,https://onthesquare.co/lodge/ceres-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,3182,West Norfolk Lodge,,,,,https://onthesquare.co/lodge/west-norfolk-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,3334,Thet Lodge,,,,,https://onthesquare.co/lodge/thet-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,3678,The Naval and Military Lodge,,,,,https://onthesquare.co/lodge/the-naval-and-military-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,3730,Le Strange Lodge,,,,,https://onthesquare.co/lodge/le-strange-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,3905,Norfolk Installed Masters Lodge,,,,,https://onthesquare.co/lodge/norfolk-installed-masters-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,3955,St. Winnold Lodge,,,,,https://onthesquare.co/lodge/st-winnold-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,4251,Lenne Lodge,,,,,https://onthesquare.co/lodge/lenne-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,4320,Albert Lodge,,,,,https://onthesquare.co/lodge/albert-lodge-2/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,4485,St. Benet Lodge,,,,,https://onthesquare.co/lodge/st-benet-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,4569,Saint Giles Lodge,,,,,https://onthesquare.co/lodge/saint-giles-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,4865,Bowers Lodge,,,,,https://onthesquare.co/lodge/bowers-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,5496,East Norfolk Lodge,,,,,https://onthesquare.co/lodge/east-norfolk-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,6074,Mancroft Lodge,,,,,https://onthesquare.co/lodge/mancroft-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,6478,Philip Broadfoot Lodge,,,,,https://onthesquare.co/lodge/philip-broadfoot-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,6539,Saint Edmund Lodge,,,,,https://onthesquare.co/lodge/saint-edmund-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,6621,Sheringham Lodge,,,,,https://onthesquare.co/lodge/sheringham-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,6622,Martin Folkes Lodge,,,,,https://onthesquare.co/lodge/martin-folkes-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,6623,Saint Nicholas Lodge,,,,,https://onthesquare.co/lodge/saint-nicholas-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,6679,Blakeney Lodge,,,,,https://onthesquare.co/lodge/blakeney-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,6862,Boileau Lodge,,,,,https://onthesquare.co/lodge/boileau-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,6906,Francis of Lorraine Lodge,,,,,https://onthesquare.co/lodge/francis-of-lorraine-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,7107,Watton Lodge,,,,,https://onthesquare.co/lodge/watton-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,7859,Bishop Herbert Lodge,,,,,https://onthesquare.co/lodge/bishop-herbert-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8010,Thorpe St. Andrew Lodge,,,,,https://onthesquare.co/lodge/thorpe-st-andrew-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8075,Old Pastonian Lodge,,,,,https://onthesquare.co/lodge/old-pastonian-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8342,Muleslai Lodge,,,,,https://onthesquare.co/lodge/muleslai-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8368,Norfolk Broads Lodge,,,,,https://onthesquare.co/lodge/norfolk-broads-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8387,Richard Gurney Lodge,,,,,https://onthesquare.co/lodge/richard-gurney-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8393,Norfolk Farmers Lodge,,,,,https://onthesquare.co/lodge/norfolk-farmers-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8490,Wayford Lodge,,,,,https://onthesquare.co/lodge/wayford-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8558,Maid's Head Lodge,,,,,https://onthesquare.co/lodge/maids-head-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8600,Round Table Lodge of Norfolk,,,,,https://onthesquare.co/lodge/round-table-lodge-of-norfolk/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8707,Breckland Lodge,,,,,https://onthesquare.co/lodge/breckland-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8782,Horning Lodge,,,,,https://onthesquare.co/lodge/horning-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8899,Yare Valley Lodge,,,,,https://onthesquare.co/lodge/yare-valley-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8921,Lodge of Good Fellowship,,,,,https://onthesquare.co/lodge/lodge-of-good-fellowship/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,8940,Wayland Lodge,,,,,https://onthesquare.co/lodge/wayland-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
norfolk,craft_lodge,9013,Geoffrey Dicker Lodge,,,,,https://onthesquare.co/lodge/geoffrey-dicker-lodge/,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Norfolk
