province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
north_wales,craft_lodge,384,St. David’s Lodge,,Bangor,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,597,Lodge of St. Cybi,,Holyhead,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,606,Segontium Lodge,,Caernarvon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,755,Lodge of Saint Tudno,,Llandudno,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,998,Welchpool Lodge,,Welshpool,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1113,Anglesea Lodge,,Menai Bridge,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1143,Royal Denbigh Lodge,,Denbigh,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1336,Square and Compass Lodge,,Wrexham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1369,Bala Lodge,,Bala,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1477,Sir Watkin Lodge,,Mold,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1488,St. Eleth Lodge,,Amlwch,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1509,Madoc Lodge,,Porthmadog,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1582,St. Idloes Lodge,,Llanidloes,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1583,Corbet Lodge,,Tywyn,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,1849,Royal Leek Lodge,,Bangor,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,2423,St. Mark's Lodge,,Connah's Quay,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,2569,St. Trillo Lodge,,Colwyn Bay,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,3273,St. Deiniol's Lodge,,Hawarden,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,3669,Moelwyn Lodge,,Blaenau Ffestiniog,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,3753,Basingwerk Lodge,,Flint,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,3840,St. Melyd's Lodge,,Prestatyn,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,3876,Wynnstay Lodge,,Ruabon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,4086,Cefni Lodge,,Llangefni,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,4233,Bromfield Lodge,,Wrexham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
north_wales,craft_lodge,4264,Memory Lodge,,Connah's Quay,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_North_Wales,,
