province_code,order,number,name,hall_postcode,meets_text,installation_text,source_url,directory_url
northumberland,craft_lodge,4824,Cowpen,NE24 2DR,"1st Monday Jan, Mar, Apr, May, Sep, Oct, Nov, Dec",Nov,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/cowpen-lodge/
northumberland,craft_lodge,9618,Epicure,NE46 3DJ,"1st Monday Feb, Apr, Jun, Nov",Apr,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/epicure-lodge/
northumberland,craft_lodge,6469,Athelstan,NE2 2RA,"1st Tuesday Jan, Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/athelstan-lodge-2/
northumberland,craft_lodge,685,Northumberland,NE1 6LH,"1st Tuesday Feb, Mar, Apr, Oct, Nov, Dec",Apr,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/northumberland-lodge/
northumberland,craft_lodge,7065,Prudhoe Castle,NE43 7BW,"1st Tuesday Mar, May, Jul, Oct, Dec",May,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/prudhoe-castle-lodge/
northumberland,craft_lodge,393,St David’s,TD15 1EE,"1st Tuesday Jan, Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Mar,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/st-davids-lodge-2/
northumberland,craft_lodge,431,St George’s,NE30 2RQ,"1st Tuesday Feb, Mar, Apr, May, Sep, Oct, Nov, Dec",Feb,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/st-georges-lodge-7/
northumberland,craft_lodge,1167,Alnwick,NE66 1UW,"1st Wednesday Feb, Mar, Apr, May, Jun, Jul, Aug, Oct, Nov, Dec",Nov,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/alnwick-lodge/
northumberland,craft_lodge,4196,Cramlington,NE23 1DN,"1st Wednesday Feb, Mar, Apr, May, Jun, Jul, Aug, Oct, Nov, Dec",Feb,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/cramlington-lodge/
northumberland,craft_lodge,5328,Newminster,NE61 1HW,"1st Wednesday Feb, Mar, Apr, May, Jun, Sept, Oct, Nov, Dec",Dec,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/newminster-lodge/
northumberland,craft_lodge,2666,Reserve Forces of Northumbria,NE2 2RA,"1st Wednesday Jan, Feb, Mar, Apr, Oct, Nov, Dec",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/reserve-forces-of-northumbria-lodge/
northumberland,craft_lodge,2260,Ridley,NE2 2RA,"1st Wednesday Feb, Mar, Apr, Oct, Nov, Dec",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/ridley-lodge/
northumberland,craft_lodge,6239,Seaton Valley,NE25 0PT,"1st Wednesday Jan, Feb, Mar, Apr,May, June, Sept, Oct, Nov, Dec",Mar,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,
northumberland,craft_lodge,4313,Segedunum,NE28 6RL,"1st Wednesday Feb, Mar, Apr, May, Jun, Jul, Sep, Oct, Nov, Dec",Dec,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/segedunum-lodge/
northumberland,craft_lodge,7864,Severus,NE15 9DX,"1st Wednesday Feb, Mar, Apr, May, Jun, Jul, Sep, Oct, Nov, Dec",Mar,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/severus-lodge/
northumberland,craft_lodge,5322,St. Alban,NE27 0HU,"1st Wednesday Jan, Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Dec,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/st-alban-lodge/
northumberland,craft_lodge,1902,St. Cuthbert,NE22 6HU,"1st Wednesday Jan, Feb, Mar, Apr, May, Jun, Aug, Sep, Oct, Nov, Dec",Sep,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/st-cuthbert-lodge/
northumberland,craft_lodge,1557,Albert Edward,NE46 3DJ,"1st Thursday Jan, Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Nov,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/albert-edward-lodge-2/
northumberland,craft_lodge,6558,Belvedere,NE26 2SE,"1st Thursday Jan, Feb, Mar, Apr, May, Jun, Oct, Nov, Dec",Feb,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/belvedere-lodge/
northumberland,craft_lodge,6029,Corinthian,NE28 6RL,"1st Thursday Jan, Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Feb,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/corinthian-lodge-4/
northumberland,craft_lodge,3361,Novocastrian,NE2 2RA,"1st Thursday Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/novocastrian-lodge/
northumberland,craft_lodge,6242,Plessey,NE24 2DR,"1st Thursday Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/plessey-lodge/
northumberland,craft_lodge,3886,Insurance & Banking,NE2 2RA,"1st Friday Feb, Apr, Sep, Nov",Sep,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/insurance-banking-lodge/
northumberland,craft_lodge,9823,Lodge of Sportsmen,NE4 7SE,"1st Friday Mar, Jun, Sep, Dec",Mar,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/lodge-of-sportsmen/
northumberland,craft_lodge,6342,Pilgrim,NE2 2RA,"1st Friday Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/pilgrim-lodge-2/
northumberland,craft_lodge,6170,Portland,NE63 0SE,"1st Friday Feb, June, Oct, Dec",Dec,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/portland-lodge-2/
northumberland,craft_lodge,8927,Sure and Stedfast,NE28 6RL,"1st Friday Mar, May, Jul, Sep, Oct, Dec",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/sure-and-stedfast-lodge-2/
northumberland,craft_lodge,8928,The Gavel,NE27 0HU,"1st Friday Feb, Mar, Apr, May, Jun, Jul, Sep, Oct, Nov, Dec",May,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/the-gavel-lodge/
northumberland,craft_lodge,6772,Hadrian,NE28 6RL,"2nd Monday Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Feb,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/hadrian-lodge-2/
northumberland,craft_lodge,5090,Haltwhistle,NE49 9DQ,"2nd Monday Jan, Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Feb,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/haltwhistle-lodge/
northumberland,craft_lodge,1427,Percy,NE2 2RA,"2nd Monday Feb, Mar, April, Sept, Oct, Nov, Dec,",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/percy-lodge/
northumberland,craft_lodge,7463,Royal Grammar School,NE2 2RA,"2nd Monday Feb, Mar, Sep, Oct, Dec",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/royal-grammar-school-lodge/
northumberland,craft_lodge,481,St. Peter's,NE4 7SE,"2nd Monday Jan, Feb, Mar, Apr, May, Jun, Sep, Oct, Nov, Dec",Oct,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/st-peters-lodge-5/
northumberland,craft_lodge,2680,Swinburne,NE20 9NX,"2nd Friday Jan, Mar, Apr, May, Sep, Nov, Dec",Sep,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/swinburne-lodge/
northumberland,craft_lodge,6609,Excelsior,NE6 1HY,"2nd Tuesday Jan, Feb, Mar (2nd Thu), Apr, May, Jun, Sep, Oct, Nov, Dec",Mar,https://northumberlandmasons.org.uk/members/lodge-and-chapter-meetings/,https://onthesquare.co/lodge/excelsior-lodge-2/
