province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url,catalogue_url
nottinghamshire,craft_lodge,47,Newstead Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,402,Royal Sussex Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,411,Commercial Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,939,Pelham Lodge,,Worksop,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,1405,Southwell Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,https://onthesquare.co/lodge/southwell-lodge/,
nottinghamshire,craft_lodge,1493,Robin Hood Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,https://onthesquare.co/lodge/robin-hood-lodge/,
nottinghamshire,craft_lodge,1661,Newton Lodge,,Newark,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,https://onthesquare.co/lodge/newton-lodge/,
nottinghamshire,craft_lodge,1794,DeVere Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,https://onthesquare.co/lodge/de-vere-lodge/,
nottinghamshire,craft_lodge,1802,Vernon Lodge,,Retford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,https://onthesquare.co/lodge/vernon-lodge/,
nottinghamshire,craft_lodge,1852,Forest Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,https://onthesquare.co/lodge/le-willows-lodge/,
nottinghamshire,craft_lodge,1909,Carnarvon Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,https://onthesquare.co/lodge/carnarvon-lodge-3/,
nottinghamshire,craft_lodge,2017,Duke of Portland Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,2302,St. Mary's Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,2412,Ashfield Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,2594,Old Priory Lodge,,Chilwell,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,2890,Welbeck Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3106,Thoresby Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3219,Castle Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3300,Pinner Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3414,Hayman Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3416,Bentinck Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3441,Magnus Lodge,,Newark,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3498,Dame Agnes Mellers Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3570,Duchess of Portland Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3595,Notts Installed Masters Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3648,Broxtowe Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3658,Rushcliffe Lodge,,Chilwell,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3852,Le Willows Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3941,Nottingham Rotary Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3943,West Bridgford Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3956,Sherwood Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,3998,Edwinstowe Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,4014,Byron Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,4068,United Service Lodge of Nottinghamshire,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,4316,St. Giles Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,4467,Semper Fratres Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,4753,Clifton Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,4907,Porchester Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,4933,Trent Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,5196,Temple Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,5288,Kirkeby Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,5313,Radcliffe Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,5408,Galway Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,5522,Daybrook Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,5528,Corinthian Lodge,,Newark,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,6011,Nuthall Temple Lodge,,Nottingham,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,6289,Dukeries Lodge,,Worksop,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,6963,Old Worksopian Lodge,,Worksop,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,7067,de Sutton Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,7094,Mansfield Lodge,,Mansfield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
nottinghamshire,craft_lodge,7095,Musters Lodge,,West Bridgford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Nottinghamshire,,
