province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
east_lancashire,secret_monitor,26,Champion,BB3 1QZ,,3rd Thu Feb; 3rd Thu Apr(i); 3rd Wed Nov,,https://www.osmeastlancs.co.uk/team-1
east_lancashire,secret_monitor,49,"Supera Moras ""The Internet""",,,4th Sat Jan(i); 4th Sat Apr; 3rd Sat Oct,,https://www.osmeastlancs.co.uk/team-1
east_lancashire,secret_monitor,57,Freeman,M34 5GB,,3rd Tue Feb; 3rd Tue Apr; 4th Tue Sep(i),,https://www.osmeastlancs.co.uk/team-1
east_lancashire,secret_monitor,75,Fraternity,M5 4PE,,3rd Wed Mar; 3rd Wed Oct(i),,https://www.osmeastlancs.co.uk/team-1
east_lancashire,secret_monitor,80,Bury,BB4 6QX,,1st Wed Feb; 1st Wed Sep; 1st Wed Nov(i),,https://www.osmeastlancs.co.uk/team-1
east_lancashire,secret_monitor,185,Roses in Concord,BB5 5HX,,2nd Tue Feb; 2nd Tue May; 2nd Tue Oct(i),,https://www.osmeastlancs.co.uk/team-1
east_lancashire,secret_monitor,212,The Past Supreme Rulers,BB4 6QX,,3rd Fri Apr(i); 1st Fri Sep,,https://www.osmeastlancs.co.uk/team-1
east_lancashire,secret_monitor,215,John Walter Chitty,,,3rd Tue May; 4th Fri Sep; 2nd Fri Dec(i),,https://www.osmeastlancs.co.uk/team-1
east_lancashire,secret_monitor,368,Robert Burns,M5 4PE,,1st Mon Apr; 1st Mon Oct(i); 1st Mon Dec,,https://www.osmeastlancs.co.uk/team-1
east_lancashire,secret_monitor,409,Dr.James Edward Glover,OL11 1DU,,1st Mon Feb; 1st Mon Jun; 1st Mon Aug(i),,https://www.osmeastlancs.co.uk/team-1
