province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
yorkshire_wr,secret_monitor,4,Claro True Friendship,,Knaresborough,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,32,Skyrack,,Leeds,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,35,Odersfelt,,Heckmondwike,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,48,Bishop Blaize,,Bradford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,94,Chantry,,Wakefield,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,120,White Rose of York,,Sheffield,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,157,Loidis,,Leeds,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,165,St. Helena,,Harrogate,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,167,Royal Standard,,Sheffield,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,170,Centurion,,Halifax,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,173,Wharfedale,,Otley,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,178,Roman Eagle,,Bradford,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,186,Ebor Rosa,,Doncaster,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,191,Huddersfield,,Huddersfield,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,263,Via Crucis,,Bingley,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,276,Westwood,,Haworth,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,308,Saxa Rubra,,Barnsley,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,329,Dore,,Dore,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,354,Bawtry,,Bawtry,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,370,The Pillar of Light,,Rotherham,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,391,Phoenix,,Pontefract,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,412,Belgravia,,Goole,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,429,West Yorkshire Past Supreme Rulers,,Batley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,449,White Rose,,Otley,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,459,Rose,,West Vale,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,461,Millennium,,Wakefield,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,474,Lux Diei,,Kirkburton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Conclave_of_West_Yorkshire
yorkshire_wr,secret_monitor,475,St. Margarets,,Swinton,,,https://catalogue.wmlmt.org.uk/wiki/District_Grand_Conclave_of_West_Yorkshire
