province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
oxfordshire,craft_lodge,340,Alfred Lodge,,Woodstock,"1st Tuesday of February, March, April, May, November, December",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/alfred-lodge/
oxfordshire,craft_lodge,357,Apollo University Lodge,,Oxford,at The Randolph Hotel,,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/apollo-university-lodge/
oxfordshire,craft_lodge,478,Churchill Lodge,,Oxford,"1st Monday of February, March, June, November, December, 1st Wednesday of May",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/churchill-lodge/
oxfordshire,craft_lodge,599,Cherwell Lodge,,Banbury,"3rd Friday of January, February, March, April, May, October, November, December",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/cherwell-lodge/
oxfordshire,craft_lodge,1036,Bowyer Lodge,,Chipping Norton,"1st Tuesday of January, February, March, April, October, November, December",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/bowyer-lodge/
oxfordshire,craft_lodge,1399,Marlborough Lodge,,Woodstock,"1st Monday of February, April, last Monday in September , November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/marlborough-lodge/
oxfordshire,craft_lodge,1515,Bertie Lodge,,Woodstock,"2nd Thursday of October, November, December, January, March, and 1st Thursday February",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/bertie-lodge/
oxfordshire,craft_lodge,1703,Windrush Lodge,,Witney,"2nd Wednesday of January, February, March, September, October, November, December",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/windrush-lodge/
oxfordshire,craft_lodge,1763,St. Mary's Lodge,,Thame,"Thursday nearest the Full Moon of February, March, May, October, November, December",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/st-marys-lodge-5/
oxfordshire,craft_lodge,1895,Thames Lodge,,Henley-on-Thames,"2nd Tuesday of February, March, April, October, November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/thames-lodge/
oxfordshire,craft_lodge,2334,Jersey Lodge,,Bicester,"1st Thursday of February, March, April, October, November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/jersey-lodge-2/
oxfordshire,craft_lodge,2414,Wychwood Lodge,,Burford,"3rd Thursday of January, February, March, April, September, October, November, December",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/wychwood-lodge/
oxfordshire,craft_lodge,3015,Semper Paratus Lodge,,Woodstock,"4th Wednesday of February, April, October, 2nd Wednesday of December",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/semper-paratus-lodge/
