province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
cheshire,rose_croix,75,Stanhope,CH1 3LG,,"First Wed in Jan, Second Thurs in Apr and Oct",February,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,150,Birkenhead,CH41 2SF,,"First Sat in Feb, Jun & last Sat in Sept",February,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,158,Pharus,CH1 3LG,,"First Tues in March, First Thursday in September",March,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,220,St Werburgh,CH1 3LG,,"Last Wed in Feb, Jun and Oct",June,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,365,St Hilary,CH41 2SF,,Second Sat in Feb and Third Sat in September,February,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,445,Good Companions,CH1 3LG,,"Last Thurs in Feb and May, First Tues in Nov",February,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,757,The Wirral,CH41 2SF,,First Mon in March (,,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,896,St James’ Priory,CH41 2SF,,Last weekday in Mar and Second Fri in May and Sep,September,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,927,Pelican,,,"Fifth Tues between Sep to Nov, Jan to Mar and Apr to Jun",Sep,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,945,City of Chester,,,First Mon in February and September & Second Mon in April,February,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,990,St Plegmund of Plemstall,CH62 5DH,,Second Tues in May and First Tuesday in September.,September,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,1028,St Ethelbert,CH45 7LU,,"Last day in Jan (not Fri, Sat or Sun) Third Mon in May & Sept",September,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,1089,De La Hoghe,CH64 9QB,,"Fourth Fri in Feb, Apr & Oct",October,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,1130,Christleton,,,"Second Tues in Feb, May & Oct",October,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,1156,Tarporley,CW6 0NB,,"Fourth Mon in Feb and Sept, Fourth Tues in Jun",June,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
cheshire,rose_croix,1203,West Cheshire,,,"Third Tues in Mar, First weekday in Sept (by arrangement)",March,https://rosecroixcheshirewest.co.uk/roll-of-chapters/
