province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
cornwall,rose_croix,61,Cornwall,,Redruth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
cornwall,rose_croix,289,Duchy,,Liskeard,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
cornwall,rose_croix,422,Earl of St Germans,,Saltash,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
cornwall,rose_croix,744,St. Austell,,St Austell,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
cornwall,rose_croix,754,Penwith,,Hayle,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
cornwall,rose_croix,770,Falmouth,,Falmouth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
cornwall,rose_croix,1027,Helston,,Helston,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
cornwall,rose_croix,1037,Launceston Castle,,Launceston,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
cornwall,rose_croix,1052,Towan Blystra,,Newquay,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
cornwall,rose_croix,1137,Laurie Francis,,Newquay,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Cornwall
