province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
devonshire,rose_croix,2,Coryton and Rougemont Union,,Exeter,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,20,St. Aubyn,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,38,Huyshe,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,115,St. Swithin,,Barnstaple,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,275,Devon,,Teignmouth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,599,Torre,,Torquay,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,628,Bishop Surtees,,Exmouth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,664,Perseverance,,Sidmouth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,741,St. Peter in Tiverton,,Tiverton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,988,Pilgrim,,Plymouth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,1077,William Alexander Kneel,,Budleigh Salterton,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,1113,Pleiades,,Totnes,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,1143,St. John the Evangelist,,Ivybridge,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,1144,Holy Cross,,Sidmouth,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
devonshire,rose_croix,1187,Okement,,N/A,,,https://catalogue.wmlmt.org.uk/wiki/District_of_Devonshire
